id,ctc,other,other_item,pe,qbi,rates,salt,std,corp_rate,corp_base,estate
216,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,15,current_policy,current_policy
217,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_law
218,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_law,current_policy
219,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_law
220,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,25,current_policy,current_policy
221,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_law
222,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_law,current_policy
223,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_law
224,current_policy,current_law,current_policy,current_law,current_law,current_law,current_policy,current_law,28,current_policy,current_policy
225,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_law
226,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_law,current_policy
227,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_law
228,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,21,current_policy,current_policy
229,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_law
230,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_law,current_policy
231,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_law
232,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,15,current_policy,current_policy
233,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_law
234,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_law,current_policy
235,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_law
236,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,25,current_policy,current_policy
237,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_law
238,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_law,current_policy
239,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_law
240,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_law,current_law,28,current_policy,current_policy
241,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_law
242,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_law,current_policy
243,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_law
244,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,21,current_policy,current_policy
245,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_law
246,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_law,current_policy
247,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_law
248,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,15,current_policy,current_policy
249,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_law
250,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_law,current_policy
251,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_law
252,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,25,current_policy,current_policy
253,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_law
254,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_law,current_policy
255,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_law
256,current_policy,current_law,current_policy,current_law,current_policy,current_law,current_policy,current_law,28,current_policy,current_policy
