M,s,scen,year,nw_total_T,drain_B,hc_mean_nz,hc_max,n_clamped,pop_clamped_M
identity,1,cgcarry_s100,2026,193.806476104311,50.9469123233625,0.000413390816388288,0.312283441078165,0,0
identity,1,cgcarry_s100,2027,202.927905874357,102.458395575646,0.00068197137977588,0.9,15,0.0200872698834102
identity,1,cgcarry_s100,2028,211.824671747419,153.97206832605,0.000922162654612475,0.9,15,0.0201700320317762
identity,1,cgcarry_s100,2029,220.586508137361,206.732129495431,0.0012752691564848,0.9,28,0.0491505369876924
identity,1,cgcarry_s100,2030,229.527112220921,261.686827027207,0.00153284273322557,0.9,21,0.0410219448031794
identity,1,cgcarry_s100,2031,238.803362748095,320.587337471911,0.00177472179466893,0.9,30,0.0528656252428919
identity,1,cgcarry_s100,2032,248.276854028682,384.228901521558,0.00209754311327926,0.9,29,0.052823440317679
identity,1,cgcarry_s100,2033,258.046783526135,452.493549708633,0.0023304116027081,0.9,29,0.0541662815573105
identity,1,cgcarry_s100,2034,267.970296331743,525.159620029152,0.00255373485461975,0.9,29,0.0548003614724069
identity,1,cgcarry_s100,2035,278.489194006316,603.811067445602,0.00280152533636239,0.9,37,0.0667055918505876
identity,1,cgcarry_s100,2036,289.647102214055,687.898245732158,0.00289470593502238,0.9,49,0.0643157403753226
uniform,0.25,cgcarry_s25,2026,193.844686288553,12.7367280808406,0.000103349060253286,0.0780708602695412,0,0
uniform,0.25,cgcarry_s25,2027,203.004835139229,25.5693610253755,0.00752715918128021,0.9,296,0.499750254128574
uniform,0.25,cgcarry_s25,2028,211.940296894543,38.4818194644232,0.0107943781041158,0.9,531,0.81678418800427
uniform,0.25,cgcarry_s25,2029,220.741735672693,51.7718584939267,0.0130073780649188,0.9,611,0.925111761541
uniform,0.25,cgcarry_s25,2030,229.723549903966,65.6615616811496,0.0148870196945783,0.9,751,1.14166634621185
uniform,0.25,cgcarry_s25,2031,239.043960756861,80.5924308904462,0.0164351456541168,0.9,816,1.25372222323047
uniform,0.25,cgcarry_s25,2032,248.565136890517,96.739800787427,0.0179765130445598,0.9,938,1.46762499168724
uniform,0.25,cgcarry_s25,2033,258.386371288535,113.935490074051,0.0192327487456421,0.9,965,1.51869154746246
uniform,0.25,cgcarry_s25,2034,268.364228203759,132.513209776358,0.0204431448751633,0.9,1019,1.58568015093284
uniform,0.25,cgcarry_s25,2035,278.941786488947,152.821261123683,0.0214571139626881,0.9,1062,1.6948256372514
uniform,0.25,cgcarry_s25,2036,290.162450708796,174.480159671071,0.0225819840158945,0.9,1189,1.85667653126363
uniform,0.5,cgcarry_s50,2026,193.831949560472,25.4734561616813,0.000206695408194144,0.156141720539082,0,0
uniform,0.5,cgcarry_s50,2027,202.979374902222,51.1281474266651,0.0110387672152431,0.9,478,0.761580114966457
uniform,0.5,cgcarry_s50,2028,211.902114419714,76.9317593886163,0.0156806209102798,0.9,790,1.17263653619639
uniform,0.5,cgcarry_s50,2029,220.690538884035,103.479243609204,0.0186473081485078,0.9,985,1.45513507780947
uniform,0.5,cgcarry_s50,2030,229.658796910565,131.214318152239,0.0211969177825906,0.9,1128,1.62586904018391
uniform,0.5,cgcarry_s50,2031,238.964655547233,161.017269800507,0.0233061157647168,0.9,1289,1.88868428953976
uniform,0.5,cgcarry_s50,2032,248.470087792247,193.242218047603,0.0253683302782789,0.9,1361,2.0903832138643
uniform,0.5,cgcarry_s50,2033,258.274650287107,227.544583912603,0.0270882645468605,0.9,1477,2.27432408700114
uniform,0.5,cgcarry_s50,2034,268.234523081293,264.595934568124,0.028714770481132,0.9,1496,2.36082269244148
uniform,0.5,cgcarry_s50,2035,278.792414031926,305.085746593659,0.03013681475316,0.9,1525,2.41490614204774
uniform,0.5,cgcarry_s50,2036,289.992154363468,348.253234933821,0.0316641649785096,0.9,1538,2.52569586765749
uniform,0.75,cgcarry_s75,2026,193.819212832392,38.2101842425219,0.000310043112291216,0.234212580808624,0,0
uniform,0.75,cgcarry_s75,2027,202.953945834544,76.6763592038688,0.0138346852431508,0.9,638,0.950117566971117
uniform,0.75,cgcarry_s75,2028,211.864065807718,115.349833515412,0.0192345598514566,0.9,1023,1.48482698564634
uniform,0.75,cgcarry_s75,2029,220.639548740282,155.12221047056,0.0229657302271176,0.9,1203,1.75715591790271
uniform,0.75,cgcarry_s75,2030,229.594349822448,196.65840696684,0.0259551267226725,0.9,1411,2.12042592415356
uniform,0.75,cgcarry_s75,2031,238.885829431083,241.274797345262,0.0283653820826233,0.9,1513,2.28837594490298
uniform,0.75,cgcarry_s75,2032,248.375712621808,289.507746173526,0.0308928476802362,0.9,1561,2.41245647401247
uniform,0.75,cgcarry_s75,2033,258.163695526632,340.828092031271,0.0331924658819008,0.9,1624,2.5276339032816
uniform,0.75,cgcarry_s75,2034,268.105704830025,396.249416522632,0.0353910416265312,0.9,1653,2.60517730405941
uniform,0.75,cgcarry_s75,2035,278.644098892829,456.795283279295,0.0372893488777235,0.9,1771,2.86442866603007
uniform,0.75,cgcarry_s75,2036,289.823181412075,521.321830986848,0.0392007158693506,0.9,1806,2.95204075993413
uniform,1,cgcarry_s100,2026,193.806476104311,50.9469123233625,0.000413390816388288,0.312283441078165,0,0
uniform,1,cgcarry_s100,2027,202.928548206243,102.213996356987,0.0162244608216755,0.9,892,1.26587764249175
uniform,1,cgcarry_s100,2028,211.826108793785,153.736055587642,0.0222305651097024,0.9,1220,1.74485146863136
uniform,1,cgcarry_s100,2029,220.588724069848,206.700814178583,0.0265474855776094,0.9,1399,2.04270394239285
uniform,1,cgcarry_s100,2030,229.53019931781,261.993965559199,0.0298866152026014,0.9,1536,2.31637233783982
uniform,1,cgcarry_s100,2031,238.807319938966,321.365293779812,0.0328673142054118,0.9,1630,2.47345849890288
uniform,1,cgcarry_s100,2032,248.281694283115,385.53687872096,0.0359773530761562,0.9,1695,2.59698987616709
uniform,1,cgcarry_s100,2033,258.053279893914,453.786823244156,0.0386985492667752,0.9,1845,2.9357678575733
uniform,1,cgcarry_s100,2034,267.97775126759,527.474894671112,0.0412559289132092,0.9,1920,3.06016426733914
uniform,1,cgcarry_s100,2035,278.496971787603,607.951692728679,0.0434751757500054,0.9,1959,3.14291497326777
uniform,1,cgcarry_s100,2036,289.655495067778,693.688544386454,0.0458630314567225,0.9,2036,3.32207321604791
