year,reform_leg,income_definition,ranking,taxes_included,corp_convention,group_dimension,group,n_tax_units,income_cutoff,income_baseline,income_reform,tax_baseline,tax_reform,etr_baseline,etr_reform,etr_income_tax_baseline,etr_income_tax_reform,etr_payroll_baseline,etr_payroll_reform,etr_estate_baseline,etr_estate_reform,etr_deemed_baseline,etr_deemed_reform,etr_wealth_baseline,etr_wealth_reform,etr_corp_baseline,etr_corp_reform,etr_vat_baseline,etr_vat_reform,etr_other_baseline,etr_other_reform
2027,static,hs_ex_home,wealth,iit_pr,n/a,Net worth,Top 1%,1874835.9507404116,14983918,7452.3761729885455,7452.3761729885455,924.058375748267,1166.3407813284205,0.12399513313586558,0.156505892114769,0.11413144590945151,0.14664220488835497,0.009863687226414047,0.009863687226414047,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs_ex_home,wealth,death,n/a,Net worth,Top 1%,1874835.9507404116,14983918,7519.763403030269,7519.763403030269,926.2803530889253,1168.5627586690787,0.12317945438491568,0.15539887308132305,0.11310867410290833,0.14532809279931572,0.009775295275156894,0.009775295275156894,2.9548500685045337e-4,2.9548500685045337e-4,0,0,0,0,0,0,0,0,0,0
2027,static,hs_ex_home,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 1%,1874835.9507404116,14983918,7619.356473009802,7619.356473009802,1025.8734230684593,1268.155828648613,0.13464042884755834,0.16643870557058543,0.11163022377247334,0.14342850049550043,0.009647521798504642,0.009647521798504642,2.916227044277482e-4,2.916227044277482e-4,0,0,0,0,0.013071060572152593,0.013071060572152593,0,0,0,0
2027,static,hs_ex_home,wealth,wealth_cit_vat,capital_income,Net worth,Top 1%,1874835.9507404116,14983918,7643.715835875373,7643.715835875373,1050.23278593403,1292.5151915141832,0.13739819853124555,0.16909513896995387,0.11127447518290963,0.14297141562161797,0.009616776610000866,0.009616776610000866,2.906933471060574e-4,2.906933471060574e-4,0,0,0,0,0.016216253391228987,0.016216253391228987,0,0,0,0
2027,static,hs_ex_home,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 1%,1874835.9507404116,14983918,7609.612110484943,7609.612110484943,1016.1290605435986,1258.411466123752,0.13353230700728097,0.16537130248594975,0.11177317000328996,0.14361216548195876,0.009659875772466284,0.009659875772466284,2.919961370431253e-4,2.919961370431253e-4,0,0,0,0,0.011807265094481604,0.011807265094481604,0,0,0,0
2027,static,hs_ex_home,wealth,other,n/a,Net worth,Top 1%,1874835.9507404116,14983918,7452.3761729885455,7452.3761729885455,355.20842551011265,355.20842551011265,0.04766378095587562,0.04766378095587562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04766378095587562,0.04766378095587562
2027,static,agi,wealth,iit,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,348.70670681658413,473.31023295465997,0.26625694273416484,0.36139865717463643,0.26625694273416484,0.36139865717463643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,iit_pr,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,360.69850584260246,485.30203198067835,0.27541334748387225,0.3705550619243438,0.26625694273416484,0.36139865717463643,0.009156404749707388,0.009156404749707388,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,death,n/a,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,360.78632779175763,485.3898539298335,0.27548040442091964,0.3706221188613912,0.26625694273416484,0.36139865717463643,0.009156404749707388,0.009156404749707388,6.70569370473947e-5,6.70569370473947e-5,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 0.1%,188602.9436090703,74859276,1309.6624006711381,1309.6624006711381,404.1043360116298,528.7078621497056,0.30855611018881357,0.4036978246292851,0.26625694273416484,0.36139865717463643,0.009156404749707388,0.009156404749707388,6.70569370473947e-5,6.70569370473947e-5,0,0,0,0,0.03307570576789396,0.03307570576789396,0,0,0,0
