ID,bits,switches_on,ord,cg,corp,wealth,deemed,estate,qbi
c073,73,ord+wealth+qbi,1,0,0,1,0,0,1
c074,74,cg+wealth+qbi,0,1,0,1,0,0,1
c075,75,ord+cg+wealth+qbi,1,1,0,1,0,0,1
c076,76,corp+wealth+qbi,0,0,1,1,0,0,1
c077,77,ord+corp+wealth+qbi,1,0,1,1,0,0,1
c078,78,cg+corp+wealth+qbi,0,1,1,1,0,0,1
c079,79,ord+cg+corp+wealth+qbi,1,1,1,1,0,0,1
c080,80,deemed+qbi,0,0,0,0,1,0,1
c081,81,ord+deemed+qbi,1,0,0,0,1,0,1
c082,82,cg+deemed+qbi,0,1,0,0,1,0,1
c083,83,ord+cg+deemed+qbi,1,1,0,0,1,0,1
c084,84,corp+deemed+qbi,0,0,1,0,1,0,1
c085,85,ord+corp+deemed+qbi,1,0,1,0,1,0,1
c086,86,cg+corp+deemed+qbi,0,1,1,0,1,0,1
c087,87,ord+cg+corp+deemed+qbi,1,1,1,0,1,0,1
c088,88,wealth+deemed+qbi,0,0,0,1,1,0,1
c089,89,ord+wealth+deemed+qbi,1,0,0,1,1,0,1
c090,90,cg+wealth+deemed+qbi,0,1,0,1,1,0,1
c091,91,ord+cg+wealth+deemed+qbi,1,1,0,1,1,0,1
c092,92,corp+wealth+deemed+qbi,0,0,1,1,1,0,1
c093,93,ord+corp+wealth+deemed+qbi,1,0,1,1,1,0,1
c094,94,cg+corp+wealth+deemed+qbi,0,1,1,1,1,0,1
c095,95,ord+cg+corp+wealth+deemed+qbi,1,1,1,1,1,0,1
c096,96,estate+qbi,0,0,0,0,0,1,1
c097,97,ord+estate+qbi,1,0,0,0,0,1,1
c098,98,cg+estate+qbi,0,1,0,0,0,1,1
c099,99,ord+cg+estate+qbi,1,1,0,0,0,1,1
c100,100,corp+estate+qbi,0,0,1,0,0,1,1
c101,101,ord+corp+estate+qbi,1,0,1,0,0,1,1
c102,102,cg+corp+estate+qbi,0,1,1,0,0,1,1
c103,103,ord+cg+corp+estate+qbi,1,1,1,0,0,1,1
c104,104,wealth+estate+qbi,0,0,0,1,0,1,1
c105,105,ord+wealth+estate+qbi,1,0,0,1,0,1,1
c106,106,cg+wealth+estate+qbi,0,1,0,1,0,1,1
c107,107,ord+cg+wealth+estate+qbi,1,1,0,1,0,1,1
c108,108,corp+wealth+estate+qbi,0,0,1,1,0,1,1
c109,109,ord+corp+wealth+estate+qbi,1,0,1,1,0,1,1
c110,110,cg+corp+wealth+estate+qbi,0,1,1,1,0,1,1
c111,111,ord+cg+corp+wealth+estate+qbi,1,1,1,1,0,1,1
c112,112,deemed+estate+qbi,0,0,0,0,1,1,1
c113,113,ord+deemed+estate+qbi,1,0,0,0,1,1,1
c114,114,cg+deemed+estate+qbi,0,1,0,0,1,1,1
c115,115,ord+cg+deemed+estate+qbi,1,1,0,0,1,1,1
c116,116,corp+deemed+estate+qbi,0,0,1,0,1,1,1
c117,117,ord+corp+deemed+estate+qbi,1,0,1,0,1,1,1
c118,118,cg+corp+deemed+estate+qbi,0,1,1,0,1,1,1
c119,119,ord+cg+corp+deemed+estate+qbi,1,1,1,0,1,1,1
c120,120,wealth+deemed+estate+qbi,0,0,0,1,1,1,1
c121,121,ord+wealth+deemed+estate+qbi,1,0,0,1,1,1,1
c122,122,cg+wealth+deemed+estate+qbi,0,1,0,1,1,1,1
c123,123,ord+cg+wealth+deemed+estate+qbi,1,1,0,1,1,1,1
c124,124,corp+wealth+deemed+estate+qbi,0,0,1,1,1,1,1
c125,125,ord+corp+wealth+deemed+estate+qbi,1,0,1,1,1,1,1
c126,126,cg+corp+wealth+deemed+estate+qbi,0,1,1,1,1,1,1
c127,127,ord+cg+corp+wealth+deemed+estate+qbi,1,1,1,1,1,1,1
