state,ssa_age_band,hi_persons_total,universe
MI,Under 20,350986,covered_worker_hi
MI,20–29,1112118,covered_worker_hi
MI,30–39,1135272,covered_worker_hi
MI,40–49,982373,covered_worker_hi
MI,50–59,989105,covered_worker_hi
MI,60–61,185336,covered_worker_hi
MI,62–64,238275,covered_worker_hi
MI,65–69,246435,covered_worker_hi
MI,70 or older,177788,covered_worker_hi
MN,Under 20,261837,covered_worker_hi
MN,20–29,642403,covered_worker_hi
MN,30–39,711560,covered_worker_hi
MN,40–49,637405,covered_worker_hi
MN,50–59,585690,covered_worker_hi
MN,60–61,114955,covered_worker_hi
MN,62–64,149228,covered_worker_hi
MN,65–69,150350,covered_worker_hi
MN,70 or older,112201,covered_worker_hi
MO,Under 20,242661,covered_worker_hi
MO,20–29,698708,covered_worker_hi
MO,30–39,725126,covered_worker_hi
MO,40–49,628021,covered_worker_hi
MO,50–59,577326,covered_worker_hi
MO,60–61,114241,covered_worker_hi
MO,62–64,144842,covered_worker_hi
MO,65–69,149636,covered_worker_hi
MO,70 or older,112915,covered_worker_hi
MS,Under 20,94045,covered_worker_hi
MS,20–29,326812,covered_worker_hi
MS,30–39,312225,covered_worker_hi
MS,40–49,293253,covered_worker_hi
MS,50–59,259899,covered_worker_hi
MS,60–61,46819,covered_worker_hi
MS,62–64,55897,covered_worker_hi
MS,65–69,62833,covered_worker_hi
MS,70 or older,46615,covered_worker_hi
MT,Under 20,55489,covered_worker_hi
MT,20–29,140252,covered_worker_hi
MT,30–39,145964,covered_worker_hi
MT,40–49,128929,covered_worker_hi
MT,50–59,103531,covered_worker_hi
MT,60–61,22440,covered_worker_hi
MT,62–64,29988,covered_worker_hi
MT,65–69,37026,covered_worker_hi
MT,70 or older,30396,covered_worker_hi
NC,Under 20,368428,covered_worker_hi
NC,20–29,1245944,covered_worker_hi
NC,30–39,1232072,covered_worker_hi
NC,40–49,1100388,covered_worker_hi
NC,50–59,1064076,covered_worker_hi
NC,60–61,191252,covered_worker_hi
NC,62–64,225524,covered_worker_hi
NC,65–69,245313,covered_worker_hi
NC,70 or older,192782,covered_worker_hi
ND,Under 20,35598,covered_worker_hi
ND,20–29,97921,covered_worker_hi
ND,30–39,106183,covered_worker_hi
ND,40–49,79663,covered_worker_hi
ND,50–59,63037,covered_worker_hi
ND,60–61,14688,covered_worker_hi
ND,62–64,18156,covered_worker_hi
ND,65–69,21930,covered_worker_hi
ND,70 or older,18564,covered_worker_hi
NE,Under 20,97819,covered_worker_hi
NE,20–29,241437,covered_worker_hi
NE,30–39,241233,covered_worker_hi
NE,40–49,215426,covered_worker_hi
NE,50–59,186560,covered_worker_hi
NE,60–61,40392,covered_worker_hi
NE,62–64,51919,covered_worker_hi
NE,65–69,56101,covered_worker_hi
NE,70 or older,46717,covered_worker_hi
NH,Under 20,58345,covered_worker_hi
NH,20–29,146882,covered_worker_hi
NH,30–39,170954,covered_worker_hi
NH,40–49,146372,covered_worker_hi
NH,50–59,170342,covered_worker_hi
NH,60–61,32742,covered_worker_hi
NH,62–64,49471,covered_worker_hi
NH,65–69,49879,covered_worker_hi
NH,70 or older,37332,covered_worker_hi
NJ,Under 20,287643,covered_worker_hi
NJ,20–29,998183,covered_worker_hi
NJ,30–39,1050306,covered_worker_hi
NJ,40–49,969011,covered_worker_hi
NJ,50–59,1007465,covered_worker_hi
NJ,60–61,191966,covered_worker_hi
NJ,62–64,238479,covered_worker_hi
NJ,65–69,257349,covered_worker_hi
NJ,70 or older,193394,covered_worker_hi
NM,Under 20,67831,covered_worker_hi
NM,20–29,217160,covered_worker_hi
NM,30–39,225422,covered_worker_hi
NM,40–49,187478,covered_worker_hi
NM,50–59,173504,covered_worker_hi
NM,60–61,34068,covered_worker_hi
NM,62–64,44064,covered_worker_hi
NM,65–69,44880,covered_worker_hi
NM,70 or older,42840,covered_worker_hi
NV,Under 20,104041,covered_worker_hi
NV,20–29,380362,covered_worker_hi
NV,30–39,391072,covered_worker_hi
NV,40–49,328648,covered_worker_hi
NV,50–59,303555,covered_worker_hi
NV,60–61,55285,covered_worker_hi
NV,62–64,61507,covered_worker_hi
NV,65–69,63547,covered_worker_hi
NV,70 or older,50185,covered_worker_hi
NY,Under 20,534282,covered_worker_hi
NY,20–29,2219442,covered_worker_hi
NY,30–39,2325218,covered_worker_hi
NY,40–49,1923027,covered_worker_hi
NY,50–59,1961992,covered_worker_hi
NY,60–61,370060,covered_worker_hi
NY,62–64,475223,covered_worker_hi
NY,65–69,506742,covered_worker_hi
NY,70 or older,398416,covered_worker_hi
OH,Under 20,461555,covered_worker_hi
OH,20–29,1355187,covered_worker_hi
OH,30–39,1366305,covered_worker_hi
OH,40–49,1198615,covered_worker_hi
OH,50–59,1160875,covered_worker_hi
OH,60–61,226952,covered_worker_hi
OH,62–64,287643,covered_worker_hi
OH,65–69,303453,covered_worker_hi
OH,70 or older,215732,covered_worker_hi
OK,Under 20,140966,covered_worker_hi
OK,20–29,460943,covered_worker_hi
OK,30–39,459005,covered_worker_hi
OK,40–49,393622,covered_worker_hi
OK,50–59,337012,covered_worker_hi
OK,60–61,69157,covered_worker_hi
OK,62–64,77419,covered_worker_hi
OK,65–69,86701,covered_worker_hi
OK,70 or older,71911,covered_worker_hi
OR,Under 20,130969,covered_worker_hi
OR,20–29,467879,covered_worker_hi
OR,30–39,517554,covered_worker_hi
OR,40–49,457883,covered_worker_hi
OR,50–59,380566,covered_worker_hi
OR,60–61,70381,covered_worker_hi
OR,62–64,85273,covered_worker_hi
OR,65–69,100267,covered_worker_hi
OR,70 or older,79051,covered_worker_hi
PA,Under 20,436361,covered_worker_hi
PA,20–29,1362021,covered_worker_hi
PA,30–39,1497886,covered_worker_hi
PA,40–49,1292762,covered_worker_hi
PA,50–59,1317650,covered_worker_hi
PA,60–61,250923,covered_worker_hi
