year,cell,wage_lower,wage_upper,n_workers,n_workers_mtr,avg_wages,total_wages,avg_mtr_iit,avg_mtr_iit_wtd
2030,$650k-$700k,650000,7e+05,141419.492429578,141419.492429578,671689.575184042,94989998792.7657,0.351211882899672,0.351271159945653
2030,$700k-$750k,7e+05,750000,101024.512690858,101024.512690858,724137.773230923,73155665661.6968,0.360441934469752,0.360471573520489
2030,$750k-$800k,750000,8e+05,91714.8559022716,91714.8559022716,773928.799182172,70980768295.611,0.357954402123372,0.357967914652617
2030,$800k-$850k,8e+05,850000,98648.2551499972,98648.2551499972,825200.776941388,81404616793.69,0.360524647346535,0.360520564894535
2030,$850k-$900k,850000,9e+05,85256.8797431153,85256.8797431153,874375.090511522,74546491942.1164,0.362338901976547,0.362407447153816
2030,$900k-$950k,9e+05,950000,55723.0005591801,55723.0005591801,923209.202891522,51443986928.9645,0.369122088227252,0.369107856408427
2030,$950k-$1000k,950000,1e+06,58920.80828994,58920.80828994,974257.289240009,57404026964.3872,0.364442429288018,0.3644057040278
2030,$1M+,1e+06,Inf,401356.362879711,401356.362879711,2440871.93788032,979659483242.797,0.366052455271287,0.366020015553912
2030,All workers,0,Inf,164081385.532582,164081385.532582,84208.8655462491,13817107332955.5,0.144031651884432,0.224117690095175
2031,$0k-$20k,0,20000,31507484.7824289,31507484.7824289,9155.98512694677,288482062055.421,0.0149808664070629,0.0273204482433296
2031,$20k-$40k,20000,40000,25190846.8711722,25190846.8711722,28438.906952653,716400150227.798,0.109597777068833,0.1150408104994
2031,$40k-$60k,40000,60000,27356935.4222251,27356935.4222251,50405.613442082,1378943111852.68,0.154982081730985,0.154890726025283
2031,$60k-$80k,60000,80000,23392116.3112001,23392116.3112001,69539.9656831714,1626686965537.61,0.156070674663452,0.15737371441598
2031,$80k-$100k,80000,1e+05,15025697.1939184,15025697.1939184,89191.3791865533,1340162655965.11,0.197345623081977,0.197200220075224
2031,$100k-$120k,1e+05,120000,10395170.1099264,10395170.1099264,109436.346030048,1137609433191.12,0.206480575343626,0.206186223307458
2031,$120k-$140k,120000,140000,7433274.44526647,7433274.44526647,129487.739393055,962517904205.723,0.20566368053286,0.205718270389658
2031,$140k-$160k,140000,160000,5364379.48352281,5364379.48352281,149513.927815304,802049446873.325,0.223657896415062,0.223921731222454
2031,$160k-$180k,160000,180000,2676205.14003784,2676205.14003784,168643.467026239,451324513289.421,0.242786815043754,0.242846068120013
2031,$180k-$200k,180000,2e+05,2966903.43685012,2966903.43685012,190424.204812828,564970227718.63,0.240185401048221,0.240173963530686
