group_id,panel,group_label,married,age_65_plus,n_dependents,dependent_filer,n_obs,filing_rate_weighted,term,coefficient,std_error,sig,pdf_page,note
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_rental,0.708,0.333,**,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_retirement,0.02,0.221,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_social_security,-0.11,0.181,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,means_tested_transfers,-0.307,0.175,*,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,n_medicaid,-0.229,0.109,**,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,educ_less_than_hs,-0.472,0.144,***,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,educ_college,0.378,0.255,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,race_black,-0.135,0.158,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,race_hispanic,-0.458,0.210,**,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,race_other,-0.26,0.259,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,intercept,-0.834,0.465,*,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,log_gross_income,0.197,0.067,***,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,negative_gross_income,1.43,0.592,**,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_wages,0.18,0.348,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_interest,0.47,0.306,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_dividends,-0.771,0.353,**,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_self_employment,0.403,0.644,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_rental,-0.665,0.428,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_retirement,-0.104,0.287,,51,
unmarried_65p_dep2p,B,"Unmarried, 65 or older, nondependent, 2+ dependents",0,1,2+,0,254,0.63,src_social_security,-0.038,0.246,,51,
