model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
taxsim,CO,2020,20513,0.3751279676302832,0.48861697460147224,0.11894895919660704,6856.691878143205,117.86345537795567,6204.002179877201,155265.60994430538,-6575.11539679648,13070,0.502601377199694,0.5884468247895945
policyengine,CO,2021,1536,0.00260416666666666,0.01106770833333333,0,24980.58922414613,1177.061242472843,9739.344426828866,642321.8596391479,-13138.6520900078,271,0,0
policyengine,CO,2022,1530,0.00849673202614379,0.0588235294117647,0,21277.777294577932,605.3275318365963,9473.7244585943,496445.5146342311,-8393.629451715367,317,0,0.00946372239747634
policyengine,CO,2023,1533,0.00195694716242661,0.01043705153294194,0,32417.205924015583,1285.1935514777433,13686.803834894112,591213.9293965042,1221.1713775121566,357,0,0
policyengine,CO,2024,1531,0.00718484650555192,0.05878510777269758,0,30009.5610892292,632.1227826506074,13004.518060760573,708726.835588211,-13034.417840964888,364,0.00549450549450549,0.02472527472527472
taxsim,CT,2017,20513,0.49617315848486326,0.7526446643591869,0.1173889728464876,3988.071873903675,15.467543821698088,782,28366.330500973243,-2926.661985111461,13458,0.6533660276415515,0.8973844553425472
taxsim,CT,2018,20515,0.49393126980258345,0.7525712893005119,0.11513526687789424,3163.4538105002684,15.663186752891306,720.0028142311974,17955.176385833456,-2052.067170325243,13504,0.6471415876777251,0.898696682464455
taxsim,CT,2019,20514,0.4709954177634786,0.7204835721945988,0.11621331773423028,4085.340640383752,19.13295208346767,811.7160000000001,22181.119168336125,-2691.3617693431684,13433,0.6227201667535175,0.8688304920717635
taxsim,CT,2020,20513,0.46565592551065177,0.6973138985033881,0.1181689660215473,2963.0953743228793,20.663602070988304,899.9456090841807,20186.526356964816,-1484.588305301632,13070,0.6303749043611324,0.8550114766641163
policyengine,CT,2021,1536,0.32421875,0.4290364583333333,0.09309895833333331,26204.0929459801,182.77075178958583,5464.2516685137525,574215.7237854606,-8061.404595437529,270,0.8444444444444444,0.8814814814814815
policyengine,CT,2022,1530,0.32483660130718955,0.3869281045751634,0.11568627450980393,21088.00295471727,250.25265505525297,4724.968017652729,337966.53811497905,-583.9236638070175,317,0.7066246056782335,0.7728706624605678
policyengine,CT,2023,1533,0.3659491193737769,0.42661448140900193,0.11285061969993476,38796.87281099889,192.96176231443133,5728.701203390266,705282.2350470652,16112.45790955462,357,0.8487394957983193,0.8823529411764706
policyengine,CT,2024,1531,0.35793598954931416,0.4310907903331156,0.10646636185499674,34232.50987125403,234.61386331504468,6992.1558768216055,611988.9687066425,-6750.207421479928,364,0.8461538461538461,0.8846153846153846
taxsim,FL,2017,20513,1,1,1,0,0,0,0,0,13458,1,1
taxsim,FL,2018,20515,1,1,1,0,0,0,0,0,13504,1,1
taxsim,FL,2019,20514,1,1,1,0,0,0,0,0,13433,1,1
taxsim,FL,2020,20513,1,1,1,0,0,0,0,0,13070,1,1
policyengine,FL,2021,1536,1,1,1,0,0,0,0,0,268,1,1
policyengine,FL,2022,1530,1,1,1,0,0,0,0,0,315,1,1
policyengine,FL,2023,1533,1,1,1,0,0,0,0,0,352,1,1
policyengine,FL,2024,1531,1,1,1,0,0,0,0,0,358,1,1
taxsim,GA,2017,20513,0.3647443084873007,0.4780383171647248,0.1721834933944328,1890.1199760545271,137.82716330487892,1878.002420140698,32039.58959204282,384.49655487674744,13458,0.42331698617922425,0.5286818249368406
taxsim,GA,2018,20515,0.3652449427248355,0.4288081891299049,0.17738240311966855,4926.328803094172,221.99740944993755,4498.543278912249,118971.52632007036,-4035.16499267435,13504,0.4257257109004739,0.49044727488151657
taxsim,GA,2019,20514,0.365555230574242,0.43034025543531246,0.17685483084722628,4932.047332994434,212.7473519683681,4497.267851069534,114222.31402877653,-4080.986643094085,13433,0.4268592272761111,0.4934861907243356
taxsim,GA,2020,20513,0.36152683664017937,0.4285087505484327,0.1705260078974309,5588.280110740545,212.74740827541584,4451.972847607287,129382.544242921,-4603.818964426794,13070,0.4222647283856159,0.48921193573068095
policyengine,GA,2021,1536,0.16145833333333334,0.20377604166666663,0.14908854166666666,26259.817384581653,478.12405836408345,7296.375388579661,611995.3078029933,-8129.049156461883,270,0.4037037037037038,0.4481481481481482
policyengine,GA,2022,1530,0.2261437908496732,0.34705882352941175,0.14248366013071895,23474.42576599469,212.745034723573,8336.384294883754,522407.4615659027,3637.3098647259058,315,0.6476190476190476,0.6984126984126984
policyengine,GA,2023,1533,0.22765818656229617,0.36203522504892366,0.1324200913242009,43316.29442505942,196.24869087430216,8663.098070147233,910209.3488912818,17438.727971542183,357,0.5938375350140056,0.6470588235294118
policyengine,GA,2024,1531,0.4016982364467668,0.4519921619856303,0.16002612671456565,32874.178751594816,221.07830693534925,11192.489144311068,697832.8860994965,-1322.8861019804883,364,0.9203296703296704,0.9203296703296704
taxsim,IL,2017,14313,0.8414727869768742,0.9370502340529588,0.18423810521903164,89.41371404871029,0.00270934752711582,43.1696704226843,965.082439312144,71.88019823381927,10922,0.995330525544772,1
taxsim,IL,2017,6200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,IL,2018,14144,0.8388716063348416,0.9300763574660632,0.1870757918552036,86.5226773967912,0.00288187912201465,49.50027144781067,1079.8265821837888,66.28773008401025,10853,0.995116557633834,1
taxsim,IL,2018,6371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,IL,2019,14147,0.8340284159185694,0.9249310807945148,0.1877429843783134,110.248563514389,0.00286161810943497,53.05272477506966,1332.5148935480331,89.76860744771334,10807,0.9964837605255852,1
taxsim,IL,2019,6367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,IL,2020,14000,0.8066428571428571,0.8977857142857143,0.18571428571428572,129.90734422581954,0.00290137010551916,111.01542471885296,1445.5744281039233,107.60016756733448,10321,0.9952523980234472,1
taxsim,IL,2020,6513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,IL,2021,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,IL,2022,1530,0.6444444444444445,0.7183006535947712,0.09803921568627452,13995.185868529328,0.01094679648667806,1759.9277419441046,246967.23401854196,-1631.9127495340383,317,0.9684542586750788,0.9936908517350158
policyengine,IL,2023,1533,0.6464448793215917,0.7195042400521853,0.1004566210045662,26337.34571163016,0.00589767973360721,1574.196105615839,497200.031129872,10092.95838933062,357,0.9775910364145658,0.9915966386554622
policyengine,IL,2024,1531,0.6401045068582626,0.7028086218158066,0.09797517962116264,23305.020309133302,0.00956580349156865,2775.065497166805,413391.9114780022,-6584.098887695551,364,0.978021978021978,0.9945054945054944
taxsim,IN,2017,20513,0.2222980548920197,0.552137668795398,0.0516257982742651,884.7946960409199,92.28918279095616,632.7532000867736,19788.399773039644,872.7406689867221,13458,0.28362312379253973,0.6616882151879923
taxsim,IN,2018,20515,0.22320253473068483,0.5517426273458444,0.05318059956129661,887.1975719695,93.34500973572722,622.0601816594291,19613.326276960543,874.0946588460304,13504,0.28480450236966826,0.6635071090047393
taxsim,IN,2019,20514,0.22004484742127328,0.5475285171102662,0.05215950082870235,934.2720034358754,93.88325648262884,662.6589291374562,20655.92051699409,924.3428586355676,13433,0.28303431846944094,0.6653018685327179
