ind,description,category
590,"Electric and gas, and other combinations",Goods
8790,Electronic and precision equipment repair and maintenance,Goods
3390,"Electronic component and product manufacturing, n.e.c.",Goods
3180,"Engine, turbine, and power transmission equipment manufacturing",Goods
1480,"Fabric mills, except knitting mills",Goods
4480,Farm product raw material merchant wholesalers,Goods
1470,"Fiber, yarn, and thread mills",Goods
280,"Fishing, hunting and trapping",Goods
2770,Foundries,Goods
5680,Fuel dealers,Goods
5570,"Gift, novelty, and souvenir shops",Retail
2490,Glass and glass product manufacturing,Goods
2290,Industrial and miscellaneous chemicals,Goods
1670,"Knitting fabric mills, and apparel knitting mills",Goods
9180,Labor unions,Nonprofit
1790,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",Goods
7270,Legal services,Professional services
270,Logging,Goods
390,Metal ore mining,Goods
4180,"Metals and minerals, except petroleum, merchant wholesalers",Goods
3170,Metalworking machinery manufacturing,Goods
4290,Miscellaneous durable goods merchant wholesalers,Goods
3980,"Miscellaneous manufacturing, n.e.c.",Goods
2590,Miscellaneous nonmetallic mineral product manufacturing,Goods
2090,Miscellaneous petroleum and coal products,Goods
2690,Nonferrous metal (except aluminum) production and processing,Goods
1290,Not specified food industries,Goods
3990,Not specified manufacturing industries,Goods
2990,Not specified metal industries,Goods
690,Not specified utilities,Goods
5480,Office supplies and stationery stores,Retail
8070,Offices of optometrists,Medical
370,Oil and gas extraction,Goods
2970,Ordnance,Goods
9390,Other general government and support,Nonprofit
6780,"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",Professional services
4680,Other motor vehicle dealers,Goods
3690,Other transportation equipment manufacturing,Goods
1880,Paperboard container manufacturing,Goods
2070,Petroleum refining,Goods
6270,Pipeline transportation,Goods
2470,"Pottery, ceramics, and plumbing fixture manufacturing",Goods
3790,Prefabricated wood buildings and mobile homes manufacturing,Goods
9380,Public finance activities,Nonprofit
6080,Rail transportation,Transportation
3670,Railroad rolling stock manufacturing,Goods
4280,Recyclable material merchant wholesalers,Goods
2170,"Resin, synthetic rubber, and fibers and filaments manufacturing",Goods
2390,"Rubber products, except tires, manufacturing",Goods
3770,Sawmills and wood preservation,Goods
1280,"Seafood and other miscellaneous foods, n.e.c.",Goods
680,Sewage treatment facilities,Goods
5280,"Sewing, needlework, and piece goods stores",Goods
5180,Shoe stores,Retail
2280,"Soap, cleaning compound, and cosmetics manufacturing",Goods
6490,Software publishers,Professional services
6590,Sound recording industries,Entertainment
3970,"Sporting and athletic goods, and doll, toy and game manufacturing",Goods
2870,"Structural metals, and boiler, tank, and shipping container manufacturing",Goods
1080,Sugar and confectionery products,Goods
490,Support activities for mining and not specified type of mining,Goods
6690,"Telecommunications, except wired telecommunications carriers",Professional services
1490,Textile and fabric finishing and fabric coating mills,Goods
1590,"Textile product mills, except carpet and rug",Goods
2380,Tire manufacturing,Goods
1390,Tobacco manufacturing,Goods
3780,"Veneer, plywood, and engineered wood products",Goods
4585,Wholesale electronic markets and agents and brokers,Goods
