child_rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15,0.0197615,0.0186467,0.0189924,0.0177448,0.0179373,0.0172931,0.0167922,0.0173394,0.0168017,0.0158193,0.0166098,0.0152985,0.0166402,0.0148015,0.0153532,0.0146032,0.0149075,0.0150593,0.0140966,0.0143,0.0138128,0.0135593,0.0133013,0.0132249,0.0127486,0.0128038,0.0131338,0.0135013,0.0126069,0.0118024,0.0118012,0.0117352,0.0114819,0.0114211,0.0113989,0.0107015,0.0109,0.0109145,0.0109044,0.0104381,0.0102759,0.0109,0.0100935,0.0096983,0.010201,0.010001,0.0093437,0.0097029,0.0092625,0.0091713,0.0091991,0.008695,0.0085531,0.0088,0.0082967,0.0083504,0.0080363,0.008016,0.0083033,0.0085227,0.0075499,0.0078023,0.00755,0.0076015,0.0072763,0.0067007,0.0077023,0.0071986,0.006719,0.0068,0.0071007,0.0065771,0.0069979,0.0068607,0.0064047,0.0062006,0.0063135,0.0061981,0.0062324,0.0063034,0.0060006,0.0060095,0.0054825,0.0055017,0.005442,0.0056447,0.0057994,0.0054015,0.005201,0.0054989,0.0052697,0.0053011,0.0051582,0.0055535,0.0053,0.0049454,0.0051076,0.0053989,0.0049555,0.0046991
16,0.0191129,0.0186062,0.0189924,0.0179779,0.0176333,0.0177929,0.0167213,0.0168125,0.0164016,0.0159612,0.0162956,0.0152985,0.0152822,0.0150015,0.0151099,0.0141371,0.0141071,0.014735,0.0147047,0.0143,0.0141168,0.0144005,0.0140014,0.0137012,0.0132046,0.0125038,0.0131642,0.0132013,0.0129008,0.0124025,0.0120012,0.0108029,0.0117555,0.01134,0.0105989,0.0113096,0.0113,0.0111274,0.0105042,0.0108333,0.0105394,0.01,0.0098706,0.0101442,0.0094009,0.009901,0.0097896,0.0092028,0.0093639,0.0088774,0.0084992,0.0085329,0.0089382,0.0091,0.0083966,0.0082795,0.0086646,0.0083403,0.0082033,0.0078741,0.0075904,0.0084025,0.0075905,0.0078016,0.0074385,0.0079008,0.0070021,0.0065987,0.0071953,0.0065,0.0074007,0.0071446,0.006798,0.0066479,0.0063642,0.0061006,0.0059183,0.0062981,0.0058777,0.0058575,0.0062006,0.0056751,0.0062426,0.0059018,0.0056447,0.0056751,0.0053995,0.0058474,0.0055011,0.0052989,0.005746,0.005201,0.005371,0.0048542,0.0053,0.0048137,0.0052393,0.005099,0.0055231,0.004799
17,0.0193358,0.018059,0.0184926,0.0183224,0.0171672,0.0170932,0.0165794,0.0158396,0.0164016,0.0165287,0.0165287,0.0154985,0.0154748,0.0148015,0.0153836,0.014512,0.0154077,0.0144411,0.0141879,0.0136,0.0141269,0.0131844,0.0139014,0.013762,0.0129412,0.0127038,0.0128703,0.0128013,0.0125056,0.0118024,0.0122012,0.012019,0.0115528,0.0117453,0.0119988,0.0108434,0.0106,0.0110057,0.0109044,0.0107117,0.0100327,0.0108,0.0102759,0.0096476,0.010201,0.009801,0.0091714,0.0096029,0.009374,0.0088673,0.0086991,0.0089889,0.0090598,0.0087,0.0088964,0.0084619,0.0087761,0.0082288,0.0082033,0.008087,0.0080059,0.0079024,0.0073473,0.0082016,0.0074892,0.0074007,0.0074022,0.0071986,0.0074689,0.0067,0.0075008,0.0068203,0.0070979,0.0071141,0.0063439,0.0064006,0.0053204,0.0058982,0.0062831,0.0056852,0.0060006,0.0059993,0.0059791,0.0054016,0.0058879,0.0056447,0.0058994,0.0051685,0.0057011,0.0052989,0.0057055,0.0056011,0.0049961,0.0052393,0.0052,0.0050163,0.0052494,0.004999,0.0050366,0.0046991
18,0.0179576,0.0182414,0.0181927,0.0177853,0.017836,0.0180928,0.0169442,0.0170354,0.0159016,0.0157383,0.0158092,0.0150985,0.0147147,0.0153015,0.0152924,0.0149275,0.0147074,0.0144816,0.0143095,0.0141,0.0145424,0.0138735,0.0136014,0.0131844,0.0136303,0.0131039,0.0122622,0.0127013,0.0129718,0.0123025,0.0122012,0.0123838,0.0117859,0.0112386,0.0112989,0.011269,0.0114,0.0108841,0.0111044,0.0107522,0.0101239,0.0103,0.0100124,0.0097895,0.010201,0.009601,0.0098909,0.0096029,0.0096679,0.0095665,0.0090991,0.0089078,0.0088977,0.0089,0.0082967,0.0085937,0.0089686,0.0086139,0.0084034,0.0078437,0.0077221,0.0078023,0.0073574,0.0078016,0.0078844,0.0073007,0.0073022,0.0075985,0.0071953,0.0071,0.0067007,0.0068507,0.006698,0.0064959,0.0066074,0.0064006,0.0067797,0.006598,0.0065162,0.0059588,0.0064006,0.0059284,0.0061007,0.0058017,0.0056649,0.0058372,0.0056994,0.0051178,0.005001,0.0054989,0.0051785,0.004901,0.0050569,0.0046211,0.0046,0.0050569,0.0046211,0.0045991,0.0047225,0.004899
19,0.0186974,0.0177549,0.0176929,0.0179069,0.0177955,0.0171931,0.0164172,0.0164274,0.0158016,0.0156673,0.0153532,0.0156984,0.016093,0.0143014,0.0148262,0.0155862,0.0138069,0.0149985,0.0141473,0.0139,0.0141168,0.0135695,0.0143014,0.0135087,0.0129412,0.0135041,0.0125662,0.0126013,0.01284,0.0125025,0.0120012,0.0119278,0.0119582,0.0116947,0.0114989,0.0110765,0.0104,0.0111882,0.0111044,0.0103164,0.0105698,0.0093,0.0102658,0.0098401,0.0107011,0.010101,0.0102051,0.0095029,0.0096476,0.0094145,0.0091991,0.0092321,0.0093537,0.009,0.0091963,0.0081174,0.0086849,0.0083504,0.0081032,0.0077728,0.0080971,0.0076023,0.0073777,0.0079016,0.0076716,0.0074007,0.0076023,0.0069986,0.0072459,0.0064,0.0071007,0.006871,0.0061981,0.007185,0.0070736,0.0063006,0.0066175,0.0068979,0.0062628,0.0060906,0.0061006,0.0061311,0.0056244,0.0059018,0.0063135,0.0060095,0.0052995,0.0052698,0.0057011,0.0054989,0.0049353,0.0053011,0.0053001,0.0048542,0.0047,0.0049454,0.0045705,0.0046991,0.0050062,0.0044991
20,0.0185049,0.0178765,0.0177929,0.0177752,0.0167517,0.0166933,0.0161943,0.0166199,0.0159016,0.0155761,0.015566,0.0155984,0.0153025,0.0157016,0.0144411,0.0154342,0.0136068,0.0143295,0.0148871,0.0141,0.0136405,0.0134681,0.0135013,0.0135188,0.0130324,0.0130039,0.0125459,0.0125013,0.0121914,0.0125025,0.0126013,0.0121507,0.0118264,0.0121203,0.0113989,0.010965,0.011,0.0114618,0.0106042,0.010884,0.010661,0.0099,0.0104583,0.009678,0.009601,0.010001,0.0095768,0.010003,0.009526,0.0090092,0.0087991,0.008695,0.0088673,0.0086,0.0090964,0.0089585,0.0088977,0.0087761,0.0082033,0.0084315,0.0078336,0.0079024,0.0078844,0.0077015,0.0075398,0.0076008,0.0078023,0.0070986,0.0070331,0.0073,0.0072007,0.0072662,0.0069979,0.006273,0.0064858,0.0069007,0.0065669,0.0064981,0.0063743,0.0061818,0.0063006,0.0062628,0.0060095,0.0061018,0.0054014,0.0055535,0.0057994,0.0054826,0.0058012,0.0053989,0.0051988,0.0058012,0.0050468,0.0047123,0.0049,0.0050873,0.0049859,0.005199,0.0048947,0.0045991
21,0.0175523,0.0172786,0.0177929,0.0174104,0.0163362,0.017493,0.0161538,0.0166402,0.0165017,0.0160828,0.0156268,0.0162984,0.0160017,0.0158016,0.0147654,0.0150086,0.013907,0.0143295,0.0147959,0.0138,0.0146235,0.0132553,0.0130013,0.0130425,0.012931,0.013404,0.0128501,0.0130013,0.0129819,0.0122024,0.0121012,0.0117656,0.0120798,0.011492,0.0108989,0.0109549,0.0113,0.0109347,0.0109044,0.0111373,0.010134,0.0101,0.010357,0.0097793,0.010401,0.009901,0.0096882,0.009903,0.0092726,0.0091612,0.0093991,0.0089686,0.0089889,0.0088,0.0086965,0.0085531,0.0081275,0.0086139,0.0086034,0.0082491,0.0080363,0.0081024,0.0079249,0.0079016,0.0071345,0.0077008,0.0077023,0.0075985,0.0075601,0.0071,0.0071007,0.0068102,0.0063981,0.0069114,0.0067999,0.0061006,0.0068709,0.0062981,0.0061818,0.0060602,0.0059006,0.0063642,0.0063034,0.0063019,0.006273,0.0058271,0.0057994,0.0055738,0.0055011,0.0055989,0.0047833,0.005101,0.0051278,0.0050569,0.0046,0.0049454,0.0047225,0.004899,0.0044995,0.0044991
22,0.0174002,0.0172482,0.017493,0.0171976,0.0166706,0.0164934,0.0165388,0.0166503,0.0167017,0.0161842,0.0159612,0.0166983,0.0157585,0.0151015,0.0149782,0.0150593,0.0149075,0.014583,0.013823,0.0136,0.0138533,0.0137722,0.0139014,0.0131945,0.0133263,0.0131039,0.0125662,0.0122012,0.0123941,0.0120024,0.0122012,0.0115832,0.011492,0.0119379,0.0115988,0.0114616,0.0104,0.0110666,0.0115046,0.0104279,0.0110461,0.0103,0.0099314,0.010509,0.009801,0.010001,0.0099923,0.010003,0.0094652,0.0090598,0.0092991,0.0089686,0.0096172,0.0086,0.0085966,0.0084214,0.008543,0.0084923,0.0082033,0.0088571,0.0079552,0.0079024,0.0080972,0.0078016,0.0075196,0.0072007,0.0074022,0.0068986,0.0073169,0.0069,0.0073007,0.0070737,0.0069979,0.0060703,0.0066074,0.0066007,0.0062324,0.0063981,0.0060602,0.0064858,0.0064006,0.0061108,0.0060602,0.0060018,0.0059284,0.0059487,0.0056994,0.0057562,0.0057011,0.005199,0.0053001,0.0053011,0.0051886,0.0048238,0.0046,0.0049049,0.0050265,0.004899,0.0049049,0.0044991
23,0.0173698,0.0178765,0.0178928,0.0172381,0.0172077,0.0177929,0.0163159,0.0161842,0.0166017,0.016549,0.0161234,0.0162984,0.0162652,0.0156016,0.0152518,0.0155964,0.0145073,0.0144714,0.0146337,0.0144,0.0136505,0.0130121,0.0132013,0.0135999,0.0137722,0.0138041,0.0129919,0.0130013,0.0121104,0.0123025,0.0130013,0.0116136,0.0116947,0.0111677,0.0109989,0.0114312,0.0111,0.0110463,0.0113045,0.0105191,0.009982,0.011,0.0112589,0.0094956,0.009601,0.010101,0.0093842,0.0092028,0.008918,0.008918,0.0089991,0.0085937,0.0083302,0.0089,0.0080968,0.0085126,0.0086646,0.0083403,0.0086034,0.0077323,0.0079147,0.0078023,0.0079553,0.0077015,0.0078641,0.0074007,0.0076023,0.0073985,0.0073777,0.007,0.0068007,0.0065872,0.0068979,0.0073269,0.0061514,0.0068007,0.0069013,0.0059982,0.0061514,0.0059791,0.0062006,0.0057663,0.0063743,0.0057017,0.0060298,0.0060196,0.0057994,0.0057664,0.0055011,0.005099,0.0055433,0.005101,0.0048745,0.0049657,0.0046,0.0045806,0.0049961,0.0042991,0.0045603,0.0045991
24,0.0174813,0.0177549,0.017393,0.0167517,0.0170455,0.0171931,0.017532,0.0172077,0.0164016,0.0165084,0.0167922,0.0159984,0.0156977,0.0154015,0.0156977,0.0147958,0.0150075,0.0154241,0.0145628,0.0144,0.0142992,0.0145019,0.0140014,0.0137722,0.0132046,0.013204,0.0128805,0.0127013,0.0119888,0.0123025,0.0119012,0.0118366,0.011492,0.0117453,0.0110989,0.0106711,0.0111,0.0107422,0.0104042,0.0106407,0.0099314,0.0101,0.0096172,0.0100023,0.0094009,0.009801,0.0097693,0.0087026,0.009303,0.009374,0.0089991,0.0088166,0.0091308,0.0087,0.0086965,0.0089585,0.0083707,0.0093233,0.007403,0.0081275,0.0081174,0.0080024,0.0074081,0.0079016,0.0074993,0.0074007,0.0077023,0.0074985,0.0071851,0.0067,0.0071007,0.0064757,0.006798,0.0068506,0.0068202,0.0070007,0.0067898,0.0062981,0.0060703,0.0060703,0.0060006,0.006202,0.006121,0.0057017,0.005219,0.0053102,0.0049995,0.0059285,0.0053011,0.005199,0.0049657,0.005201,0.0052798,0.0050468,0.005,0.0049859,0.0048339,0.004899,0.0050569,0.004899
25,0.017461,0.0172888,0.0177929,0.0172482,0.0168226,0.017393,0.017076,0.0170455,0.0163016,0.016093,0.0159815,0.0161984,0.0158599,0.0156016,0.0152924,0.0150086,0.0156078,0.0148667,0.0150796,0.0148,0.0140459,0.0146438,0.0134013,0.0137823,0.0133871,0.0130039,0.0126676,0.0125013,0.0122016,0.0115023,0.0126013,0.0125257,0.0119582,0.0113704,0.0119988,0.0108333,0.0105,0.0106915,0.0109044,0.0100124,0.0105191,0.0101,0.0104381,0.0098706,0.0093009,0.009501,0.0096882,0.010003,0.008847,0.0094044,0.009799,0.0089686,0.0094753,0.0086,0.0085966,0.0085227,0.0082491,0.0086342,0.0084034,0.0083707,0.0080667,0.0078023,0.0079351,0.0077015,0.0076817,0.0077008,0.0070021,0.0073985,0.0072459,0.007,0.0068007,0.0072155,0.006698,0.0068709,0.0067391,0.0061006,0.0059791,0.0069979,0.006202,0.0062223,0.0061006,0.0057663,0.0054521,0.0056017,0.0057359,0.0056244,0.0054995,0.0059285,0.0054011,0.0054989,0.0052596,0.005001,0.0049859,0.0050163,0.0048,0.00454,0.0045603,0.0045991,0.0044286,0.0040992
26,0.0161842,0.0162348,0.0168932,0.0174306,0.0166605,0.0159936,0.0170151,0.0163463,0.0157016,0.0158092,0.0161335,0.0159984,0.0153025,0.0153015,0.0152822,0.0149275,0.0151076,0.0143802,0.0141473,0.014,0.0146945,0.0136201,0.0137014,0.0141471,0.0135391,0.0130039,0.0134378,0.0124012,0.0124144,0.0118024,0.0122012,0.0123433,0.0118366,0.0114109,0.0113989,0.0117149,0.0112,0.0115125,0.0108043,0.0106306,0.0105698,0.0108,0.0097793,0.0102455,0.010101,0.009801,0.0094552,0.0103031,0.0098604,0.0093233,0.0086991,0.0090801,0.0088977,0.0089,0.0088964,0.0091004,0.0086747,0.0082896,0.0083033,0.0083707,0.0081984,0.0084025,0.0082999,0.0078016,0.007783,0.0075008,0.0077023,0.0071986,0.0074283,0.0074,0.0071007,0.0063035,0.006798,0.0066581,0.0065973,0.0069007,0.0066175,0.006798,0.0060399,0.0063034,0.0064006,0.0060399,0.0059993,0.0062019,0.0055839,0.005594,0.0052995,0.0051685,0.0053011,0.0053989,0.0056345,0.0055011,0.005067,0.0049353,0.0049,0.0046921,0.0048542,0.004899,0.0041246,0.0045991
27,0.0160423,0.0163868,0.0162935,0.016022,0.0161436,0.0157937,0.0165997,0.0159308,0.0159016,0.0166301,0.0162348,0.0158984,0.0154038,0.0150015,0.0155862,0.0146336,0.0150075,0.0144816,0.0148162,0.0141,0.0133465,0.0135289,0.0135013,0.0131438,0.0133871,0.013304,0.0133466,0.0130013,0.012992,0.0124025,0.0119012,0.0121203,0.0121304,0.0111778,0.0110989,0.0117656,0.0121,0.0109449,0.0109044,0.0104989,0.0104279,0.0104,0.0104482,0.0105394,0.010001,0.010001,0.0100024,0.0097029,0.0096375,0.0092422,0.0092991,0.0092118,0.0091916,0.0084,0.0087965,0.008087,0.0086443,0.0085835,0.0088035,0.0086545,0.0081883,0.0077023,0.0079148,0.0077015,0.0075601,0.0073007,0.0076023,0.0075985,0.0072561,0.0073,0.0074007,0.0073777,0.0071978,0.0066479,0.0068303,0.0068007,0.0069824,0.0062981,0.0061615,0.0064756,0.0069007,0.0059588,0.0065162,0.0058017,0.0056953,0.0055028,0.0061994,0.0055637,0.0054011,0.0052989,0.0054724,0.005201,0.004763,0.0051684,0.0051,0.0052494,0.0049251,0.0044991,0.0045502,0.0042991
