band,year,factor_phase10,factor_phase5,source
35_44,2027,1.2215405636356,1.17235019265463,projected
45_54,2027,0.96208614685924,0.931580390537821,projected
55_64,2027,1.02020899095391,1.00855304521558,projected
65p,2027,1.27308082115512,1.32796342099178,projected
18_25,2028,1.0135165192487,1.00944021520451,projected
26_34,2028,1.05592499022198,0.998279016028981,projected
35_44,2028,1.21802693478077,1.15609232131909,projected
45_54,2028,0.96710926349915,0.928471698068092,projected
55_64,2028,1.00403894875844,0.989658872853819,projected
65p,2028,1.31808197562314,1.38835288302796,projected
18_25,2029,1.01015819223007,1.00690533803249,projected
26_34,2029,1.04072416503113,0.994769511728533,projected
35_44,2029,1.21394210589977,1.1640532274021,projected
45_54,2029,0.974412109555104,0.943017798271992,projected
55_64,2029,0.985633406593696,0.974307790971634,projected
65p,2029,1.36170444415819,1.41916896467157,projected
18_25,2030,1.00430709196267,1.00187962815538,projected
26_34,2030,1.02902250022837,0.994563643027904,projected
35_44,2030,1.20741692435686,1.16981506042958,projected
45_54,2030,0.981658964113296,0.95774550207894,projected
55_64,2030,0.97010282412175,0.961718369519123,projected
65p,2030,1.40395318828646,1.4479248593052,projected
18_25,2031,0.998572603375177,0.996962237099775,projected
26_34,2031,1.01961312966749,0.996593668388087,projected
35_44,2031,1.19767654811205,1.17255003127179,projected
45_54,2031,0.990912423514723,0.974688094817682,projected
55_64,2031,0.959334708043535,0.953791145731716,projected
65p,2031,1.44206454189457,1.47186365004031,projected
18_25,2032,0.991778041482489,0.990977691682378,projected
26_34,2032,1.01113139837249,0.999587096421081,projected
35_44,2032,1.18757493908391,1.17498558498354,projected
45_54,2032,0.99873425536164,0.990490569684487,projected
55_64,2032,0.952579000417696,0.949818763272124,projected
65p,2032,1.47672278779456,1.49182440291897,projected
18_25,2033,0.983655194849427,0.983655194849427,projected
26_34,2033,1.0057098334472,1.0057098334472,projected
35_44,2033,1.17577455814372,1.17577455814372,projected
45_54,2033,1.00398964019427,1.00398964019427,projected
55_64,2033,0.950818343826643,0.950818343826643,projected
65p,2033,1.50900686027525,1.50900686027525,projected
18_25,2034,0.974564500240386,0.974564500240386,projected
26_34,2034,1.01150710367463,1.01150710367463,projected
35_44,2034,1.17551711448985,1.17551711448985,projected
45_54,2034,1.01915693795066,1.01915693795066,projected
55_64,2034,0.951580363225753,0.951580363225753,projected
65p,2034,1.52575179109492,1.52575179109492,projected
18_25,2035,0.965572870946549,0.965572870946549,projected
26_34,2035,1.01674970915592,1.01674970915592,projected
35_44,2035,1.17252690787462,1.17252690787462,projected
45_54,2035,1.03324378136896,1.03324378136896,projected
55_64,2035,0.954043152525061,0.954043152525061,projected
65p,2035,1.54292659163606,1.54292659163606,projected
18_25,2036,0.957602489730992,0.957602489730992,projected
26_34,2036,1.0161622882428,1.0161622882428,projected
35_44,2036,1.16904443879508,1.16904443879508,projected
45_54,2036,1.04644982553747,1.04644982553747,projected
55_64,2036,0.956615123971552,0.956615123971552,projected
65p,2036,1.56223258607284,1.56223258607284,projected
18_25,2037,0.949130473993678,0.949130473993678,projected
26_34,2037,1.01660235401521,1.01660235401521,projected
35_44,2037,1.16627896121226,1.16627896121226,projected
45_54,2037,1.05875712784601,1.05875712784601,projected
55_64,2037,0.962835458859303,0.962835458859303,projected
65p,2037,1.57627073199363,1.57627073199363,projected
18_25,2038,0.941814590777843,0.941814590777843,projected
26_34,2038,1.01563026238822,1.01563026238822,projected
35_44,2038,1.16392958607516,1.16392958607516,projected
45_54,2038,1.0678153152359,1.0678153152359,projected
55_64,2038,0.976100657812687,0.976100657812687,projected
65p,2038,1.58552528265689,1.58552528265689,projected
18_25,2039,0.930445755167098,0.930445755167098,projected
26_34,2039,1.01357131352303,1.01357131352303,projected
35_44,2039,1.1650161008541,1.1650161008541,projected
45_54,2039,1.07627020413346,1.07627020413346,projected
55_64,2039,0.991124505202314,0.991124505202314,projected
65p,2039,1.59082853386814,1.59082853386814,projected
18_25,2040,0.920903778448963,0.920903778448963,projected
26_34,2040,1.01014810363052,1.01014810363052,projected
35_44,2040,1.16810331178229,1.16810331178229,projected
45_54,2040,1.08224448362345,1.08224448362345,projected
55_64,2040,1.00623241084723,1.00623241084723,projected
65p,2040,1.59632276216853,1.59632276216853,projected
18_25,2041,0.911349963911957,0.911349963911957,projected
26_34,2041,1.0076198084076,1.0076198084076,projected
35_44,2041,1.17262626251234,1.17262626251234,projected
45_54,2041,1.08514881299645,1.08514881299645,projected
55_64,2041,1.02342931891088,1.02342931891088,projected
65p,2041,1.60094572550427,1.60094572550427,projected
18_25,2042,0.900270376790962,0.900270376790962,projected
26_34,2042,1.00219311612451,1.00219311612451,projected
35_44,2042,1.18023559324768,1.18023559324768,projected
45_54,2042,1.08819879542711,1.08819879542711,projected
55_64,2042,1.03956135309637,1.03956135309637,projected
65p,2042,1.60491787970278,1.60491787970278,projected
18_25,2043,0.889876438362071,0.889876438362071,projected
26_34,2043,0.994613039137271,0.994613039137271,projected
35_44,2043,1.18994191222559,1.18994191222559,projected
45_54,2043,1.08992228765507,1.08992228765507,projected
55_64,2043,1.05356052003567,1.05356052003567,projected
65p,2043,1.61016926606622,1.61016926606622,projected
18_25,2044,0.883224056557493,0.883224056557493,projected
26_34,2044,0.984682231061943,0.984682231061943,projected
35_44,2044,1.19694471672809,1.19694471672809,projected
45_54,2044,1.09077358176312,1.09077358176312,projected
55_64,2044,1.06944383489028,1.06944383489028,projected
65p,2044,1.61527470950323,1.61527470950323,projected
18_25,2045,0.877724528254143,0.877724528254143,projected
26_34,2045,0.976989364307865,0.976989364307865,projected
35_44,2045,1.20074383865301,1.20074383865301,projected
45_54,2045,1.08903310502552,1.08903310502552,projected
55_64,2045,1.0841533576764,1.0841533576764,projected
65p,2045,1.62265080161895,1.62265080161895,projected
18_25,2046,0.872644047623523,0.872644047623523,projected
26_34,2046,0.969454446076992,0.969454446076992,projected
35_44,2046,1.20128284646538,1.20128284646538,projected
45_54,2046,1.08667045085988,1.08667045085988,projected
55_64,2046,1.09809219847986,1.09809219847986,projected
65p,2046,1.63251525790699,1.63251525790699,projected
18_25,2047,0.87107120164712,0.87107120164712,projected
26_34,2047,0.96032264090036,0.96032264090036,projected
35_44,2047,1.2018312080955,1.2018312080955,projected
45_54,2047,1.08494330042984,1.08494330042984,projected
55_64,2047,1.11080140834528,1.11080140834528,projected
65p,2047,1.64072864290758,1.64072864290758,projected
18_25,2048,0.867807798424973,0.867807798424973,projected
26_34,2048,0.952058969370185,0.952058969370185,projected
35_44,2048,1.2022036989595,1.2022036989595,projected
45_54,2048,1.08281207109552,1.08281207109552,projected
55_64,2048,1.12045500584631,1.12045500584631,projected
65p,2048,1.65175508134136,1.65175508134136,projected
18_25,2049,0.8625290204341,0.8625290204341,projected
26_34,2049,0.945645854637051,0.945645854637051,projected
35_44,2049,1.20093233944715,1.20093233944715,projected
45_54,2049,1.08406827155832,1.08406827155832,projected
55_64,2049,1.12924325684365,1.12924325684365,projected
65p,2049,1.66105899831275,1.66105899831275,projected
18_25,2050,0.858635711864113,0.858635711864113,projected
26_34,2050,0.93648417374126,0.93648417374126,projected
35_44,2050,1.19954963626672,1.19954963626672,projected
45_54,2050,1.08734075106523,1.08734075106523,projected
55_64,2050,1.13528381312773,1.13528381312773,projected
65p,2050,1.67173213517645,1.67173213517645,projected
18_25,2051,0.854719783612056,0.854719783612056,projected
26_34,2051,0.927423046660393,0.927423046660393,projected
35_44,2051,1.19764914941875,1.19764914941875,projected
45_54,2051,1.09182572858514,1.09182572858514,projected
55_64,2051,1.13813065962829,1.13813065962829,projected
65p,2051,1.68398074235288,1.68398074235288,projected
18_25,2052,0.850820861804012,0.850820861804012,projected
26_34,2052,0.919169016298552,0.919169016298552,projected
35_44,2052,1.19190751968797,1.19190751968797,projected
45_54,2052,1.09926988673418,1.09926988673418,projected
55_64,2052,1.14135119702512,1.14135119702512,projected
65p,2052,1.69550946785972,1.69550946785972,projected
18_25,2053,0.847443470945688,0.847443470945688,projected
26_34,2053,0.913994589350865,0.913994589350865,projected
35_44,2053,1.18156946190247,1.18156946190247,projected
45_54,2053,1.10870534798815,1.10870534798815,projected
55_64,2053,1.1431338175416,1.1431338175416,projected
65p,2053,1.70721405832058,1.70721405832058,projected
18_25,2054,0.844676561408464,0.844676561408464,projected
26_34,2054,0.909348093736881,0.909348093736881,projected
35_44,2054,1.17099321413364,1.17099321413364,projected
45_54,2054,1.11563287219404,1.11563287219404,projected
55_64,2054,1.14416500092861,1.14416500092861,projected
65p,2054,1.721191292262,1.721191292262,projected
18_25,2055,0.842499986669614,0.842499986669614,projected
26_34,2055,0.905029850147987,0.905029850147987,projected
35_44,2055,1.1631358885248,1.1631358885248,projected
45_54,2055,1.11982650004863,1.11982650004863,projected
55_64,2055,1.14250656010701,1.14250656010701,projected
65p,2055,1.73705695876014,1.73705695876014,projected
18_25,2056,0.840843636830044,0.840843636830044,projected
26_34,2056,0.903714104431928,0.903714104431928,projected
35_44,2056,1.15275357815992,1.15275357815992,projected
45_54,2056,1.12111632113051,1.12111632113051,projected
55_64,2056,1.14033222764095,1.14033222764095,projected
65p,2056,1.75541088868304,1.75541088868304,projected
18_25,2057,0.839568598142013,0.839568598142013,projected
26_34,2057,0.900975750766098,0.900975750766098,projected
35_44,2057,1.14522893033802,1.14522893033802,projected
45_54,2057,1.1223636809383,1.1223636809383,projected
55_64,2057,1.13913955066041,1.13913955066041,projected
65p,2057,1.77164238974868,1.77164238974868,projected
18_25,2058,0.838531010539093,0.838531010539093,projected
26_34,2058,0.896386507028272,0.896386507028272,projected
35_44,2058,1.13905529192322,1.13905529192322,projected
45_54,2058,1.12329634826753,1.12329634826753,projected
55_64,2058,1.13704498115199,1.13704498115199,projected
65p,2058,1.78929886441055,1.78929886441055,projected
18_25,2059,0.837569034920091,0.837569034920091,projected
26_34,2059,0.89301293129866,0.89301293129866,projected
35_44,2059,1.13194088260546,1.13194088260546,projected
45_54,2059,1.12276109668881,1.12276109668881,projected
55_64,2059,1.13894460653652,1.13894460653652,projected
65p,2059,1.80474405086053,1.80474405086053,projected
18_25,2060,0.836540256210556,0.836540256210556,projected
26_34,2060,0.889564440120288,0.889564440120288,projected
35_44,2060,1.12346262018668,1.12346262018668,projected
45_54,2060,1.12180685032234,1.12180685032234,projected
55_64,2060,1.14303756927954,1.14303756927954,projected
65p,2060,1.81998302718914,1.81998302718914,projected
18_25,2061,0.8352994249287,0.8352994249287,projected
26_34,2061,0.886255138846238,0.886255138846238,projected
35_44,2061,1.11504722302015,1.11504722302015,projected
45_54,2061,1.12064656878896,1.12064656878896,projected
55_64,2061,1.14822777660764,1.14822777660764,projected
65p,2061,1.83435027511427,1.83435027511427,projected
18_25,2062,0.833704126000072,0.833704126000072,projected
26_34,2062,0.883467817567412,0.883467817567412,projected
35_44,2062,1.10701782514985,1.10701782514985,projected
45_54,2062,1.11575019596061,1.11575019596061,projected
55_64,2062,1.15680678181961,1.15680678181961,projected
65p,2062,1.8486044036705,1.8486044036705,projected
18_25,2063,0.831611055124388,0.831611055124388,projected
26_34,2063,0.881274820754348,0.881274820754348,projected
35_44,2063,1.10222050367951,1.10222050367951,projected
45_54,2063,1.10672007656165,1.10672007656165,projected
55_64,2063,1.16741635900451,1.16741635900451,projected
65p,2063,1.86179788198447,1.86179788198447,projected
18_25,2064,0.828965052511835,0.828965052511835,projected
26_34,2064,0.879594567459191,0.879594567459191,projected
35_44,2064,1.09772155475084,1.09772155475084,projected
45_54,2064,1.09762535070102,1.09762535070102,projected
55_64,2064,1.17529223118863,1.17529223118863,projected
65p,2064,1.87667739099186,1.87667739099186,projected
18_25,2065,0.825755308510911,0.825755308510911,projected
26_34,2065,0.878337739994063,0.878337739994063,projected
35_44,2065,1.09360169658802,1.09360169658802,projected
45_54,2065,1.09097232230089,1.09097232230089,projected
55_64,2065,1.18034294932517,1.18034294932517,projected
65p,2065,1.89092196867868,1.89092196867868,projected
18_25,2066,0.822033426008103,0.822033426008103,projected
26_34,2066,0.87733762946552,0.87733762946552,projected
35_44,2066,1.09252465433009,1.09252465433009,projected
45_54,2066,1.08197699937167,1.08197699937167,projected
55_64,2066,1.18233699926995,1.18233699926995,projected
65p,2066,1.90689225145102,1.90689225145102,projected
18_25,2067,0.817871404507392,0.817871404507392,projected
26_34,2067,0.8764627112932,0.8764627112932,projected
35_44,2067,1.08999701062079,1.08999701062079,projected
45_54,2067,1.07569368890633,1.07569368890633,projected
55_64,2067,1.18421812367965,1.18421812367965,projected
65p,2067,1.92125220525226,1.92125220525226,projected
18_25,2068,0.813359917255207,0.813359917255207,projected
26_34,2068,0.875568606005626,0.875568606005626,projected
35_44,2068,1.0855608082411,1.0855608082411,projected
45_54,2068,1.07071433150589,1.07071433150589,projected
55_64,2068,1.18563650775391,1.18563650775391,projected
65p,2068,1.93599759909765,1.93599759909765,projected
18_25,2069,0.808577855255717,0.808577855255717,projected
26_34,2069,0.874542500030612,0.874542500030612,projected
35_44,2069,1.08239133594619,1.08239133594619,projected
45_54,2069,1.06489428442842,1.06489428442842,projected
55_64,2069,1.18556111208216,1.18556111208216,projected
65p,2069,1.95127008406725,1.95127008406725,projected
18_25,2070,0.803625673239486,0.803625673239486,projected
26_34,2070,0.873267723328634,0.873267723328634,projected
35_44,2070,1.07914582233597,1.07914582233597,projected
45_54,2070,1.05787534872066,1.05787534872066,projected
55_64,2070,1.18479940463204,1.18479940463204,projected
65p,2070,1.96783927082999,1.96783927082999,projected
18_25,2071,0.798599074136546,0.798599074136546,projected
26_34,2071,0.871621987796649,0.871621987796649,projected
35_44,2071,1.07615760993568,1.07615760993568,projected
45_54,2071,1.05086351166693,1.05086351166693,projected
55_64,2071,1.18413867267101,1.18413867267101,projected
65p,2071,1.98363356775124,1.98363356775124,projected
18_25,2072,0.793579838935017,0.793579838935017,projected
26_34,2072,0.869501454480893,0.869501454480893,projected
35_44,2072,1.07372609213514,1.07372609213514,projected
45_54,2072,1.04420000948586,1.04420000948586,projected
55_64,2072,1.17920644715926,1.17920644715926,projected
65p,2072,2.0017655507827,2.0017655507827,projected
18_25,2073,0.788642440298221,0.788642440298221,projected
26_34,2073,0.866872081725272,0.866872081725272,projected
35_44,2073,1.07188445836886,1.07188445836886,projected
45_54,2073,1.04058400738403,1.04058400738403,projected
55_64,2073,1.17001705375434,1.17001705375434,projected
65p,2073,2.01967798471483,2.01967798471483,projected
18_25,2074,0.78385898888337,0.78385898888337,projected
26_34,2074,0.863732512624613,0.863732512624613,projected
35_44,2074,1.07051870601551,1.07051870601551,projected
45_54,2074,1.0370145384836,1.0370145384836,projected
55_64,2074,1.16081283077426,1.16081283077426,projected
65p,2074,2.03664472137935,2.03664472137935,projected
18_25,2075,0.779281226518489,0.779281226518489,projected
26_34,2075,0.860141117906708,0.860141117906708,projected
35_44,2075,1.06949944850984,1.06949944850984,projected
45_54,2075,1.03380701383856,1.03380701383856,projected
55_64,2075,1.1541901776712,1.1541901776712,projected
65p,2075,2.05024241908408,2.05024241908408,projected
18_25,2076,0.774948112410286,0.774948112410286,projected
26_34,2076,0.856170218236741,0.856170218236741,projected
35_44,2076,1.06865164600862,1.06865164600862,projected
45_54,2076,1.03333046769315,1.03333046769315,projected
55_64,2076,1.1449781799624,1.1449781799624,projected
65p,2076,2.06269913043615,2.06269913043615,projected
18_25,2077,0.770895493475062,0.770895493475062,projected
26_34,2077,0.851896276411477,0.851896276411477,projected
35_44,2077,1.06784052281809,1.06784052281809,projected
45_54,2077,1.03144085389592,1.03144085389592,projected
55_64,2077,1.13883381665222,1.13883381665222,projected
65p,2077,2.07318175364951,2.07318175364951,projected
18_25,2078,0.767139014529777,0.767139014529777,projected
26_34,2078,0.847403111082039,0.847403111082039,projected
35_44,2078,1.06693085217209,1.06693085217209,projected
45_54,2078,1.02773535649331,1.02773535649331,projected
55_64,2078,1.13416192457229,1.13416192457229,projected
65p,2078,2.08349749859188,2.08349749859188,projected
18_25,2079,0.763679203552268,0.763679203552268,projected
26_34,2079,0.842778730641839,0.842778730641839,projected
35_44,2079,1.06581216880674,1.06581216880674,projected
45_54,2079,1.02522328219289,1.02522328219289,projected
55_64,2079,1.12858660421559,1.12858660421559,projected
65p,2079,2.092932145607,2.092932145607,projected
18_25,2080,0.760527231442033,0.760527231442033,projected
26_34,2080,0.838109524720223,0.838109524720223,projected
35_44,2080,1.0643799426217,1.0643799426217,projected
45_54,2080,1.02260035130455,1.02260035130455,projected
55_64,2080,1.12177673372521,1.12177673372521,projected
65p,2080,2.10303360047307,2.10303360047307,projected
18_25,2081,0.757664507821549,0.757664507821549,projected
26_34,2081,0.833465695305877,0.833465695305877,projected
35_44,2081,1.06251919762882,1.06251919762882,projected
45_54,2081,1.0202692273568,1.0202692273568,projected
55_64,2081,1.11495184169105,1.11495184169105,projected
65p,2081,2.11250232031555,2.11250232031555,projected
18_25,2082,0.755071608664075,0.755071608664075,projected
26_34,2082,0.828923800416981,0.828923800416981,projected
35_44,2082,1.0601461530595,1.0601461530595,projected
45_54,2082,1.01840012562122,1.01840012562122,projected
55_64,2082,1.10851962144954,1.10851962144954,projected
65p,2082,2.12092187513849,2.12092187513849,projected
18_25,2083,0.752722301807606,0.752722301807606,projected
26_34,2083,0.824538854226426,0.824538854226426,projected
35_44,2083,1.05723341219884,1.05723341219884,projected
45_54,2083,1.01707779444589,1.01707779444589,projected
55_64,2083,1.10539686806364,1.10539686806364,projected
65p,2083,2.12582767719552,2.12582767719552,projected
18_25,2084,0.750588882309853,0.750588882309853,projected
26_34,2084,0.820357205758278,0.820357205758278,projected
35_44,2084,1.05379840068699,1.05379840068699,projected
45_54,2084,1.01617785496023,1.01617785496023,projected
55_64,2084,1.1021311700512,1.1021311700512,projected
65p,2084,2.13024499459626,2.13024499459626,projected
18_25,2085,0.748639810442132,0.748639810442132,projected
26_34,2085,0.816408159403202,0.816408159403202,projected
35_44,2085,1.04990602547247,1.04990602547247,projected
45_54,2085,1.01558598834939,1.01558598834939,projected
55_64,2085,1.09927868447271,1.09927868447271,projected
65p,2085,2.13380360017926,2.13380360017926,projected
18_25,2086,0.746846075211715,0.746846075211715,projected
26_34,2086,0.812721281410756,0.812721281410756,projected
35_44,2086,1.04563033365566,1.04563033365566,projected
45_54,2086,1.01514027562148,1.01514027562148,projected
55_64,2086,1.09929720944362,1.09929720944362,projected
65p,2086,2.13455481434237,2.13455481434237,projected
18_25,2087,0.745173635942271,0.745173635942271,projected
26_34,2087,0.809306950915248,0.809306950915248,projected
35_44,2087,1.04105947428549,1.04105947428549,projected
45_54,2087,1.0147208671085,1.0147208671085,projected
55_64,2087,1.09771577203088,1.09771577203088,projected
65p,2087,2.13634397024598,2.13634397024598,projected
18_25,2088,0.743586145527969,0.743586145527969,projected
26_34,2088,0.806166262962955,0.806166262962955,projected
35_44,2088,1.03628591720998,1.03628591720998,projected
45_54,2088,1.01420037898815,1.01420037898815,projected
55_64,2088,1.09416502462803,1.09416502462803,projected
65p,2088,2.13957571042064,2.13957571042064,projected
18_25,2089,0.742048368395266,0.742048368395266,projected
26_34,2089,0.80329928896994,0.80329928896994,projected
35_44,2089,1.03139332449444,1.03139332449444,projected
45_54,2089,1.01348591905775,1.01348591905775,projected
55_64,2089,1.09195493800828,1.09195493800828,projected
65p,2089,2.14152314075296,2.14152314075296,projected
18_25,2090,0.740526958575509,0.740526958575509,projected
26_34,2090,0.800693055018321,0.800693055018321,projected
35_44,2090,1.02647409476491,1.02647409476491,projected
45_54,2090,1.01247322855812,1.01247322855812,projected
55_64,2090,1.0895829498617,1.0895829498617,projected
65p,2090,2.14350679991059,2.14350679991059,projected
18_25,2091,0.738982901285376,0.738982901285376,projected
26_34,2091,0.798323589116709,0.798323589116709,projected
35_44,2091,1.02160851891382,1.02160851891382,projected
45_54,2091,1.01106712891025,1.01106712891025,projected
55_64,2091,1.08759749051223,1.08759749051223,projected
65p,2091,2.145125773023,2.145125773023,projected
18_25,2092,0.737382822767907,0.737382822767907,projected
26_34,2092,0.796169585473353,0.796169585473353,projected
35_44,2092,1.01686800882892,1.01686800882892,projected
45_54,2092,1.00918759694375,1.00918759694375,projected
55_64,2092,1.08604995955531,1.08604995955531,projected
65p,2092,2.14637925410965,2.14637925410965,projected
18_25,2093,0.735692654558463,0.735692654558463,projected
26_34,2093,0.794199882879983,0.794199882879983,projected
35_44,2093,1.01230515005921,1.01230515005921,projected
45_54,2093,1.00681163824556,1.00681163824556,projected
55_64,2093,1.08511847986534,1.08511847986534,projected
65p,2093,2.14713087126302,2.14713087126302,projected
18_25,2094,0.733884997386135,0.733884997386135,projected
26_34,2094,0.792390128459545,0.792390128459545,projected
35_44,2094,1.00796960805322,1.00796960805322,projected
45_54,2094,1.00395730430092,1.00395730430092,projected
55_64,2094,1.08462320085043,1.08462320085043,projected
65p,2094,2.14748733630673,2.14748733630673,projected
18_25,2095,0.731933257840921,0.731933257840921,projected
26_34,2095,0.790706232945239,0.790706232945239,projected
35_44,2095,1.0038813012198,1.0038813012198,projected
45_54,2095,1.00067946814098,1.00067946814098,projected
55_64,2095,1.08445611617113,1.08445611617113,projected
65p,2095,2.14749767300716,2.14749767300716,projected
18_25,2096,0.729824542148278,0.729824542148278,projected
26_34,2096,0.789118963362462,0.789118963362462,projected
35_44,2096,1.00007346647479,1.00007346647479,projected
45_54,2096,0.9970482235305,0.9970482235305,projected
55_64,2096,1.08443545554943,1.08443545554943,projected
65p,2096,2.14724274136209,2.14724274136209,projected
18_25,2097,0.727549179977295,0.727549179977295,projected
26_34,2097,0.787591040526986,0.787591040526986,projected
35_44,2097,0.996551730353249,0.996551730353249,projected
45_54,2097,0.993142178264091,0.993142178264091,projected
55_64,2097,1.08443881500011,1.08443881500011,projected
65p,2097,2.14678061226948,2.14678061226948,projected
