state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
OK,3002309,1375570,1070650,1012100,43230,2446220,556089,0.0112178376008643,2429163.45741329,573145.542586713,0.190901583610052,27338,545807.542586713,592421,629116,0.941672124059792
OR,3370950,1540550,1292450,894280,42990,2833000,537950,0.0129915273046777,2813246.59059767,557703.409402326,0.165443987422633,20066,537637.409402326,725767,770656,0.941752221484034
PA,10293744,4660100,4139890,2745890,154060,8799990,1493754,0.040354857171158,8738631.08534897,1555112.91465103,0.151073595248826,151748,1403364.91465103,2215691,2419628,0.915715556275593
RI,884820,354170,390850,213410,16270,745020,139800,0.00341650111984856,739825.264711288,144994.735288712,0.163869188409746,21303,123691.735288712,174474,194071,0.899021492134322
SC,4013349,1783100,1587120,1248420,81140,3370220,643129,0.0154551024189096,3346720.76405369,666628.235946314,0.166102732642069,36564,630064.235946314,892440,930295,0.959308606409795
SD,668820,354650,261520,212520,8750,616170,52650,0.00282562279538413,611873.685749583,56946.3142504168,0.0851444547866643,10389,46557.3142504168,149831,153465,0.97632033362656
TN,5373085,2445420,2084210,1671660,84800,4529630,843455,0.020771906750825,4498046.64813588,875038.351864122,0.162855855037492,48451,826587.351864122,1084371,1144787,0.947225116986828
TX,21776910,9711080,8806680,8253100,253300,18517760,3259150,0.0849184555811748,18388642.8469841,3388267.15301589,0.155589895582793,132936,3255331.15301589,3366564,3778098,0.891073762512248
UT,2334190,1294020,835180,963800,26860,2129200,204990,0.00976405221924452,2114353.91482547,219836.085174526,0.0941808872347693,13589,206247.085174526,335726,372376,0.90157797495005
VA,6729506,3160440,2603250,2054040,124240,5763690,965816,0.0264310398908216,5723502.02674264,1006003.97325736,0.149491504020853,84473,921530.973257356,1224124,1370442,0.893232986146075
VT,524318,251290,215460,117490,7430,466750,57568,0.00214041488508941,463495.53341386,60822.4665861403,0.116003010741841,16177,44645.4665861403,120760,129757,0.930662700278212
WA,6029789,2932870,2347600,1781690,66170,5280470,749319,0.0242150971360859,5243651.33224614,786137.667753864,0.13037565124648,34563,751574.667753864,1117941,1219947,0.91638489213056
WI,4606576,2274200,1844330,1270410,35040,4118530,488046,0.0188866907695497,4089813.08887195,516762.911128048,0.112179395526753,52445,464317.911128048,988817,1033154,0.957085778112459
WV,1429434,644630,484760,381520,19470,1129390,300044,0.00517913908317329,1121515.20189026,307918.79810974,0.215413092251716,15037,292881.79810974,338918,364539,0.929716710694878
WY,443858,235230,166110,136370,6110,401340,42518,0.00184045872518861,398541.61195569,45316.3880443097,0.102096589549608,4338,40978.3880443097,92823,100758,0.921246948133151
