state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
IL,9987403,4460150,3880650,3611900,102510,8340800,1646603,0.0411073777955203,8289393.70309372,1698009.29690628,0.170015097709212,,,1608968,1849589,0.869905692561969
IN,5036574,2435410,1858610,1756320,56450,4294020,742554,0.0211629462883081,4267554.95263746,769019.047362542,0.152686935079787,,,908675,971527,0.935305966792482
KS,2195963,1127550,764150,769030,22470,1891700,304263,0.00932318561478344,1880041.01143085,315921.988569154,0.143864895979192,,,386874,427243,0.905512787804598
KY,3420415,1555740,1113010,1102430,38100,2668750,751665,0.0131528527829219,2652301.8709394,768113.129060597,0.22456723206412,,,610903,672543,0.908347867719982
LA,3553106,1330650,1314630,1328990,28270,2645280,907826,0.0130371816054736,2628976.52202664,924129.477973364,0.26009060184902,,,569707,656675,0.867563101991092
MA,5469109,2405390,2162400,1465790,64030,4567790,901319,0.0225122133632984,4539637.6442373,929471.3557627,0.169949320037816,,,898173,1068251,0.840788354047878
MD,4689277,2035540,1901840,1633630,88060,3937380,751897,0.0194052569519142,3913113.00818712,776163.991812876,0.16551890447352,,,709368,850150,0.834403340586955
ME,1077356,517770,381100,258430,11410,898870,178486,0.00443005331371803,893330.054419223,184025.945580777,0.170812568529601,,,230506,252862,0.911588138984901
MI,7761102,3594690,2882890,2376260,74570,6477580,1283522,0.0319245549900137,6437657.16277645,1323444.83722355,0.170522799110686,,,1477097,1572613,0.939262870140333
MN,4216628,2167340,1622990,1345320,37080,3790330,426298,0.018680525522695,3766969.31165443,449658.688345575,0.106639401992676,,,737639,805122,0.916182889052839
MO,4682996,2194150,1663790,1474270,53810,3857940,825056,0.0190137393406447,3834162.61544617,848833.384553832,0.181258618319091,,,867678,951708,0.911706111538413
MS,2264203,836920,814320,902340,23900,1651240,612963,0.00813808585640165,1641063.02252739,623139.977472607,0.275213829092447,,,407115,443988,0.91695045812049
MT,805559,409350,289390,222750,8870,698740,106819,0.00344371872732134,694433.502313892,111125.497686108,0.137948303831387,,,161420,177947,0.907124031312694
NC,7685582,3441510,2688500,2723330,95970,6130010,1555572,0.0302115668713214,6092229.31779944,1593352.68220056,0.207317114331818,,,1384173,1505803,0.919225821704433
ND,587545,295080,219180,170610,5320,514260,73285,0.00253451468745495,511090.495606294,76454.5043937058,0.130125359578766,,,97600,107540,0.907569276548261
NE,1428751,744950,520230,502120,13270,1265180,163571,0.00623540094946964,1257382.40040285,171368.599597147,0.119942942890082,,,251401,279934,0.898072402780656
NH,1077234,553330,409450,268460,13930,962780,114454,0.00474503179478839,956846.162174441,120387.837825559,0.111756440871305,,,205434,221954,0.925570163186967
NJ,7057818,3225670,2730180,2383710,85290,5955850,1101968,0.0293532246359401,5919142.70652345,1138675.29347655,0.161335315458199,,,1201412,1360906,0.882803073834637
NM,1594130,641950,591260,574500,10430,1233210,360920,0.00607783778189305,1225609.43897374,368520.561026255,0.231173468303247,,,286562,330495,0.867069093329702
NV,2191009,901590,889270,879390,21330,1790860,400149,0.00882619875777928,1779822.51188404,411186.488115957,0.187669921992998,,,363953,416375,0.874099069348544
NY,15844728,6163900,6432610,4946900,200100,12596510,3248218,0.0620815144200855,12518874.7692017,3325853.23079835,0.209902828928231,,,2576899,3021736,0.852787602887876
OH,9032020,4139320,3349010,2803480,346980,7488330,1543690,0.0369060054632084,7442177.67464606,1589842.32535394,0.176022896910541,,,1634288,1858923,0.879158523510657
OK,2941771,1369410,940380,1049680,33990,2309790,631981,0.0113837293974577,2295554.22519049,646216.774809509,0.219669299483035,,,524902,575995,0.911296105000912
OR,3152125,1503990,1105960,972390,33130,2609950,542175,0.0128630587806227,2593864.26906166,558260.730938344,0.1771061524966,,,609313,659493,0.923911246973054
PA,10195639,4705200,3789210,2874940,117540,8494410,1701229,0.0418644399841796,8442056.96881551,1753582.03118449,0.171993342563864,,,2000413,2199254,0.909587069069785
RI,862926,352260,346110,226170,10540,698370,164556,0.0034418951936334,694065.782710239,168860.217289761,0.195683311535127,,,155710,174382,0.892924728469682
SC,3764525,1627890,1324120,1290790,63310,2952010,812515,0.0145488910327731,2933816.07345455,830708.926545451,0.22066766100516,,,736790,796386,0.925166941658944
SD,641106,342840,240760,205190,6400,583600,57506,0.00287625475751314,580003.137004304,61102.8629956961,0.0953085183974197,,,129531,132671,0.976332431352745
TN,5106476,2297980,1789700,1761010,62960,4087680,1018796,0.0201460059067706,4062486.67421137,1043989.32578864,0.204444185342031,,,940307,1016223,0.925295924221357
TX,20231884,9118310,7506960,8537290,171390,16625270,3606614,0.0819371349082257,16522804.5811233,3709079.41887673,0.183328424524218,,,2797857,3240717,0.863345056047782
UT,2079563,1176900,664660,1020670,21180,1841560,238003,0.00907607215772088,1830210.0359521,249352.9640479,0.119906424593965,,,274335,308214,0.890079620004283
VA,6511731,3102030,2311330,2143540,99090,5413360,1098371,0.026679579256565,5379996.19899523,1131734.80100477,0.173799378537714,,,1049314,1189707,0.881993633726624
VT,513139,249520,198540,119660,5580,448060,65079,0.00220825001139709,445298.501655498,67840.4983445025,0.132206864698459,,,103346,111648,0.925641301232445
WA,5557858,2788550,2015500,1911010,45690,4804050,753808,0.0236766135500874,4774441.51872092,783416.481279086,0.140956548598234,,,934265,1034471,0.903133098946225
WI,4488077,2254140,1701820,1358300,23540,3955960,532117,0.0194968279138651,3931578.49531108,556498.504688921,0.123994865660487,,,855268,904655,0.945407917935567
WV,1466077,671810,437860,407590,14410,1109670,356407,0.00546897466889926,1102830.84482448,363246.155175521,0.247767446850009,,,306237,334140,0.916493086730113
WY,442759,236570,157800,146660,5050,394370,48389,0.00194364048786919,391939.405655222,50819.5943447785,0.114779359301061,,,76924,84756,0.907593562697626
