state,gq_type,band,persons
IA,dorm_student,18_25,45095
IA,institutional,18_25,2050
IA,institutional,26_34,4991
IA,institutional,35_44,3987
IA,institutional,45_54,2545
IA,institutional,55_64,2342
IA,institutional,65p,26009
IA,institutional,u18,1265
IA,other_noninstitutional,18_25,1366
IA,other_noninstitutional,26_34,3549
IA,other_noninstitutional,35_44,2184
IA,other_noninstitutional,45_54,1207
IA,other_noninstitutional,55_64,1406
IA,other_noninstitutional,65p,625
IA,other_noninstitutional,u18,68
ID,dorm_student,18_25,19557
ID,institutional,18_25,1440
ID,institutional,26_34,3629
ID,institutional,35_44,3607
ID,institutional,45_54,2329
ID,institutional,55_64,2060
ID,institutional,65p,7876
ID,institutional,u18,331
ID,other_noninstitutional,18_25,1328
ID,other_noninstitutional,26_34,2894
ID,other_noninstitutional,35_44,1646
ID,other_noninstitutional,45_54,810
ID,other_noninstitutional,55_64,713
ID,other_noninstitutional,65p,1244
ID,other_noninstitutional,u18,370
IL,dorm_student,18_25,82562
IL,institutional,18_25,9414
IL,institutional,26_34,18230
IL,institutional,35_44,19895
IL,institutional,45_54,15000
IL,institutional,55_64,16546
IL,institutional,65p,64491
IL,institutional,u18,2014
IL,other_noninstitutional,18_25,10768
IL,other_noninstitutional,26_34,6414
IL,other_noninstitutional,35_44,7834
IL,other_noninstitutional,45_54,5926
IL,other_noninstitutional,55_64,7585
IL,other_noninstitutional,65p,7663
IL,other_noninstitutional,u18,1006
IN,dorm_student,18_25,72654
IN,institutional,18_25,5604
IN,institutional,26_34,10154
IN,institutional,35_44,14790
IN,institutional,45_54,9167
IN,institutional,55_64,9215
IN,institutional,65p,40596
IN,institutional,u18,1852
IN,other_noninstitutional,18_25,1218
IN,other_noninstitutional,26_34,1648
IN,other_noninstitutional,35_44,3064
IN,other_noninstitutional,45_54,2867
IN,other_noninstitutional,55_64,2850
IN,other_noninstitutional,65p,2595
IN,other_noninstitutional,u18,255
KS,dorm_student,18_25,31837
KS,institutional,18_25,3519
KS,institutional,26_34,4649
KS,institutional,35_44,7582
KS,institutional,45_54,4050
KS,institutional,55_64,2708
KS,institutional,65p,18102
KS,institutional,u18,475
KS,other_noninstitutional,18_25,4751
KS,other_noninstitutional,26_34,1863
KS,other_noninstitutional,35_44,1578
KS,other_noninstitutional,45_54,1199
KS,other_noninstitutional,55_64,1417
KS,other_noninstitutional,65p,2162
KS,other_noninstitutional,u18,597
KY,dorm_student,18_25,33467
KY,institutional,18_25,3367
KY,institutional,26_34,11166
KY,institutional,35_44,14196
KY,institutional,45_54,8306
KY,institutional,55_64,6593
KY,institutional,65p,22574
KY,institutional,u18,1402
KY,other_noninstitutional,18_25,6072
KY,other_noninstitutional,26_34,2925
KY,other_noninstitutional,35_44,3549
KY,other_noninstitutional,45_54,2948
KY,other_noninstitutional,55_64,1116
KY,other_noninstitutional,65p,1723
KY,other_noninstitutional,u18,671
LA,dorm_student,18_25,32012
LA,institutional,18_25,6983
LA,institutional,26_34,12634
LA,institutional,35_44,17580
LA,institutional,45_54,9054
LA,institutional,55_64,9072
LA,institutional,65p,21520
LA,institutional,u18,779
LA,other_noninstitutional,18_25,2403
LA,other_noninstitutional,26_34,2267
LA,other_noninstitutional,35_44,2854
LA,other_noninstitutional,45_54,1975
LA,other_noninstitutional,55_64,1531
LA,other_noninstitutional,65p,2502
LA,other_noninstitutional,u18,812
MA,dorm_student,18_25,139388
MA,institutional,18_25,3617
MA,institutional,26_34,4206
MA,institutional,35_44,4771
MA,institutional,45_54,3191
MA,institutional,55_64,6729
MA,institutional,65p,32221
MA,institutional,u18,3041
MA,other_noninstitutional,18_25,2730
MA,other_noninstitutional,26_34,9175
MA,other_noninstitutional,35_44,4145
MA,other_noninstitutional,45_54,5312
MA,other_noninstitutional,55_64,9609
MA,other_noninstitutional,65p,8729
MA,other_noninstitutional,u18,919
MD,dorm_student,18_25,45698
MD,institutional,18_25,5123
MD,institutional,26_34,8541
MD,institutional,35_44,8138
MD,institutional,45_54,5387
MD,institutional,55_64,5401
MD,institutional,65p,25260
MD,institutional,u18,558
MD,other_noninstitutional,18_25,2215
MD,other_noninstitutional,26_34,3032
MD,other_noninstitutional,35_44,2347
MD,other_noninstitutional,45_54,2559
MD,other_noninstitutional,55_64,3815
MD,other_noninstitutional,65p,6769
MD,other_noninstitutional,u18,479
ME,dorm_student,18_25,16254
ME,institutional,18_25,463
ME,institutional,26_34,1026
ME,institutional,35_44,1319
ME,institutional,45_54,573
ME,institutional,55_64,1078
ME,institutional,65p,10218
ME,institutional,u18,512
ME,other_noninstitutional,18_25,902
ME,other_noninstitutional,26_34,908
ME,other_noninstitutional,35_44,669
ME,other_noninstitutional,45_54,1258
ME,other_noninstitutional,55_64,696
ME,other_noninstitutional,65p,1169
ME,other_noninstitutional,u18,377
MI,dorm_student,18_25,74314
MI,institutional,18_25,5870
MI,institutional,26_34,17887
MI,institutional,35_44,13059
MI,institutional,45_54,10738
MI,institutional,55_64,10317
MI,institutional,65p,39440
MI,institutional,u18,2286
MI,other_noninstitutional,18_25,3283
MI,other_noninstitutional,26_34,6120
MI,other_noninstitutional,35_44,4237
MI,other_noninstitutional,45_54,5088
MI,other_noninstitutional,55_64,8407
MI,other_noninstitutional,65p,9778
MI,other_noninstitutional,u18,2140
MN,dorm_student,18_25,43843
MN,institutional,18_25,1614
MN,institutional,26_34,4835
MN,institutional,35_44,5596
MN,institutional,45_54,4247
MN,institutional,55_64,5153
MN,institutional,65p,33313
MN,institutional,u18,1434
MN,other_noninstitutional,18_25,1895
MN,other_noninstitutional,26_34,6607
MN,other_noninstitutional,35_44,7152
MN,other_noninstitutional,45_54,6199
MN,other_noninstitutional,55_64,6119
MN,other_noninstitutional,65p,6582
MN,other_noninstitutional,u18,1605
MO,dorm_student,18_25,56822
MO,institutional,18_25,3433
MO,institutional,26_34,9440
MO,institutional,35_44,11625
MO,institutional,45_54,7044
MO,institutional,55_64,10268
MO,institutional,65p,36238
MO,institutional,u18,2727
MO,other_noninstitutional,18_25,7833
MO,other_noninstitutional,26_34,2918
MO,other_noninstitutional,35_44,3925
MO,other_noninstitutional,45_54,2684
MO,other_noninstitutional,55_64,2810
MO,other_noninstitutional,65p,5659
MO,other_noninstitutional,u18,357
MS,dorm_student,18_25,32314
MS,institutional,18_25,4022
MS,institutional,26_34,9094
MS,institutional,35_44,9297
MS,institutional,45_54,7086
MS,institutional,55_64,6254
MS,institutional,65p,16327
MS,institutional,u18,854
MS,other_noninstitutional,18_25,3032
MS,other_noninstitutional,26_34,859
MS,other_noninstitutional,35_44,452
MS,other_noninstitutional,45_54,1515
MS,other_noninstitutional,55_64,1746
MS,other_noninstitutional,65p,829
MS,other_noninstitutional,u18,52
MT,dorm_student,18_25,7501
MT,institutional,18_25,284
MT,institutional,26_34,2255
MT,institutional,35_44,1421
MT,institutional,45_54,1773
MT,institutional,55_64,1125
MT,institutional,65p,5423
MT,institutional,u18,734
MT,other_noninstitutional,18_25,2083
MT,other_noninstitutional,26_34,2251
MT,other_noninstitutional,35_44,380
MT,other_noninstitutional,45_54,1070
MT,other_noninstitutional,55_64,1697
MT,other_noninstitutional,65p,722
MT,other_noninstitutional,u18,578
NC,dorm_student,18_25,112181
NC,institutional,18_25,8246
NC,institutional,26_34,13728
NC,institutional,35_44,19058
NC,institutional,45_54,11347
NC,institutional,55_64,9783
NC,institutional,65p,41985
NC,institutional,u18,2154
NC,other_noninstitutional,18_25,31919
NC,other_noninstitutional,26_34,8271
NC,other_noninstitutional,35_44,3506
NC,other_noninstitutional,45_54,3337
NC,other_noninstitutional,55_64,5359
NC,other_noninstitutional,65p,8493
NC,other_noninstitutional,u18,1877
ND,dorm_student,18_25,13676
ND,institutional,18_25,413
ND,institutional,26_34,679
ND,institutional,35_44,1063
ND,institutional,45_54,617
ND,institutional,55_64,706
ND,institutional,65p,6506
ND,institutional,u18,199
ND,other_noninstitutional,18_25,575
ND,other_noninstitutional,26_34,1037
ND,other_noninstitutional,35_44,316
ND,other_noninstitutional,45_54,521
ND,other_noninstitutional,55_64,511
ND,other_noninstitutional,65p,577
ND,other_noninstitutional,u18,1431
NE,dorm_student,18_25,19228
NE,institutional,18_25,1407
NE,institutional,26_34,2354
NE,institutional,35_44,2512
NE,institutional,45_54,1251
NE,institutional,55_64,1986
NE,institutional,65p,10437
NE,institutional,u18,870
NE,other_noninstitutional,18_25,759
NE,other_noninstitutional,26_34,872
NE,other_noninstitutional,35_44,1337
NE,other_noninstitutional,45_54,1096
NE,other_noninstitutional,55_64,1406
NE,other_noninstitutional,65p,875
NE,other_noninstitutional,u18,151
NH,dorm_student,18_25,16424
NH,institutional,18_25,415
NH,institutional,26_34,1182
NH,institutional,35_44,1396
NH,institutional,45_54,1060
NH,institutional,55_64,909
NH,institutional,65p,8996
NH,institutional,u18,486
NH,other_noninstitutional,18_25,204
NH,other_noninstitutional,26_34,1774
NH,other_noninstitutional,35_44,581
NH,other_noninstitutional,45_54,578
NH,other_noninstitutional,55_64,1197
NH,other_noninstitutional,65p,1575
NH,other_noninstitutional,u18,518
NJ,dorm_student,18_25,56204
NJ,institutional,18_25,4913
NJ,institutional,26_34,7891
NJ,institutional,35_44,11518
NJ,institutional,45_54,8772
NJ,institutional,55_64,9989
NJ,institutional,65p,35222
NJ,institutional,u18,832
NJ,other_noninstitutional,18_25,1996
NJ,other_noninstitutional,26_34,5792
NJ,other_noninstitutional,35_44,4335
NJ,other_noninstitutional,45_54,4251
NJ,other_noninstitutional,55_64,7234
NJ,other_noninstitutional,65p,8562
NJ,other_noninstitutional,u18,1957
NM,dorm_student,18_25,9210
NM,institutional,18_25,1705
NM,institutional,26_34,4385
NM,institutional,35_44,4629
NM,institutional,45_54,2923
NM,institutional,55_64,3007
NM,institutional,65p,4662
NM,institutional,u18,812
NM,other_noninstitutional,18_25,4267
NM,other_noninstitutional,26_34,512
NM,other_noninstitutional,35_44,1599
NM,other_noninstitutional,45_54,996
NM,other_noninstitutional,55_64,1501
NM,other_noninstitutional,65p,1586
NM,other_noninstitutional,u18,1130
NV,dorm_student,18_25,3485
NV,institutional,18_25,2819
NV,institutional,26_34,4936
NV,institutional,35_44,4684
NV,institutional,45_54,2848
NV,institutional,55_64,3550
NV,institutional,65p,4497
NV,institutional,u18,508
NV,other_noninstitutional,18_25,923
NV,other_noninstitutional,26_34,448
NV,other_noninstitutional,35_44,1137
NV,other_noninstitutional,45_54,2716
NV,other_noninstitutional,55_64,1653
NV,other_noninstitutional,65p,449
NV,other_noninstitutional,u18,172
NY,dorm_student,18_25,237611
NY,institutional,18_25,8310
NY,institutional,26_34,16082
NY,institutional,35_44,19972
NY,institutional,45_54,14949
NY,institutional,55_64,18406
NY,institutional,65p,91217
NY,institutional,u18,5179
NY,other_noninstitutional,18_25,23303
NY,other_noninstitutional,26_34,33319
NY,other_noninstitutional,35_44,37497
NY,other_noninstitutional,45_54,25951
NY,other_noninstitutional,55_64,36335
NY,other_noninstitutional,65p,32117
NY,other_noninstitutional,u18,13939
OH,dorm_student,18_25,98044
OH,institutional,18_25,9684
OH,institutional,26_34,17537
OH,institutional,35_44,21920
OH,institutional,45_54,12179
OH,institutional,55_64,15235
OH,institutional,65p,75068
OH,institutional,u18,1776
OH,other_noninstitutional,18_25,1040
OH,other_noninstitutional,26_34,3938
OH,other_noninstitutional,35_44,6314
OH,other_noninstitutional,45_54,5095
OH,other_noninstitutional,55_64,5678
OH,other_noninstitutional,65p,9581
OH,other_noninstitutional,u18,857
OK,dorm_student,18_25,34686
OK,institutional,18_25,4194
OK,institutional,26_34,13295
OK,institutional,35_44,11144
OK,institutional,45_54,8689
OK,institutional,55_64,6454
OK,institutional,65p,19796
OK,institutional,u18,1274
OK,other_noninstitutional,18_25,7625
OK,other_noninstitutional,26_34,3739
OK,other_noninstitutional,35_44,1987
OK,other_noninstitutional,45_54,1324
OK,other_noninstitutional,55_64,1479
OK,other_noninstitutional,65p,1598
OK,other_noninstitutional,u18,386
OR,dorm_student,18_25,24855
OR,institutional,18_25,2522
OR,institutional,26_34,6216
OR,institutional,35_44,6505
OR,institutional,45_54,4482
OR,institutional,55_64,3571
OR,institutional,65p,13282
OR,institutional,u18,930
OR,other_noninstitutional,18_25,1249
OR,other_noninstitutional,26_34,2867
OR,other_noninstitutional,35_44,5348
OR,other_noninstitutional,45_54,6956
OR,other_noninstitutional,55_64,6301
OR,other_noninstitutional,65p,11700
OR,other_noninstitutional,u18,255
PA,dorm_student,18_25,206676
PA,institutional,18_25,9382
PA,institutional,26_34,22514
PA,institutional,35_44,24759
PA,institutional,45_54,15662
PA,institutional,55_64,15178
PA,institutional,65p,82206
PA,institutional,u18,3957
PA,other_noninstitutional,18_25,2304
PA,other_noninstitutional,26_34,10998
PA,other_noninstitutional,35_44,6331
PA,other_noninstitutional,45_54,4251
PA,other_noninstitutional,55_64,11044
PA,other_noninstitutional,65p,12421
PA,other_noninstitutional,u18,4324
RI,dorm_student,18_25,25442
RI,institutional,18_25,533
RI,institutional,26_34,751
RI,institutional,35_44,1053
RI,institutional,45_54,1524
RI,institutional,55_64,1050
RI,institutional,65p,7174
RI,institutional,u18,242
RI,other_noninstitutional,18_25,966
RI,other_noninstitutional,26_34,1564
RI,other_noninstitutional,35_44,440
RI,other_noninstitutional,45_54,1361
RI,other_noninstitutional,55_64,1114
RI,other_noninstitutional,65p,1022
RI,other_noninstitutional,u18,46
SC,dorm_student,18_25,54475
SC,institutional,18_25,4012
SC,institutional,26_34,7248
SC,institutional,35_44,11165
SC,institutional,45_54,6843
SC,institutional,55_64,5660
SC,institutional,65p,18523
SC,institutional,u18,1420
SC,other_noninstitutional,18_25,14768
SC,other_noninstitutional,26_34,3468
SC,other_noninstitutional,35_44,1987
SC,other_noninstitutional,45_54,2201
SC,other_noninstitutional,55_64,2862
SC,other_noninstitutional,65p,3318
SC,other_noninstitutional,u18,1353
SD,dorm_student,18_25,9904
SD,institutional,18_25,536
SD,institutional,26_34,1951
SD,institutional,35_44,2976
SD,institutional,45_54,1173
SD,institutional,55_64,882
SD,institutional,65p,7650
SD,institutional,u18,525
SD,other_noninstitutional,18_25,1634
SD,other_noninstitutional,26_34,793
SD,other_noninstitutional,35_44,651
SD,other_noninstitutional,45_54,477
SD,other_noninstitutional,55_64,1015
SD,other_noninstitutional,65p,706
SD,other_noninstitutional,u18,1273
TN,dorm_student,18_25,51744
TN,institutional,18_25,4791
TN,institutional,26_34,13505
TN,institutional,35_44,11892
TN,institutional,45_54,10202
TN,institutional,55_64,5780
TN,institutional,65p,28708
TN,institutional,u18,1935
TN,other_noninstitutional,18_25,1794
TN,other_noninstitutional,26_34,2730
TN,other_noninstitutional,35_44,2508
TN,other_noninstitutional,45_54,1719
TN,other_noninstitutional,55_64,2566
TN,other_noninstitutional,65p,6900
TN,other_noninstitutional,u18,355
TX,dorm_student,18_25,151306
TX,institutional,18_25,30833
TX,institutional,26_34,69050
TX,institutional,35_44,75968
TX,institutional,45_54,45920
TX,institutional,55_64,39478
TX,institutional,65p,90480
TX,institutional,u18,6958
TX,other_noninstitutional,18_25,33728
TX,other_noninstitutional,26_34,16907
TX,other_noninstitutional,35_44,10227
TX,other_noninstitutional,45_54,9075
TX,other_noninstitutional,55_64,11486
TX,other_noninstitutional,65p,11533
TX,other_noninstitutional,u18,6219
UT,dorm_student,18_25,23419
UT,institutional,18_25,1287
UT,institutional,26_34,2440
UT,institutional,35_44,3547
UT,institutional,45_54,2560
UT,institutional,55_64,1685
UT,institutional,65p,4976
UT,institutional,u18,2331
UT,other_noninstitutional,18_25,1716
UT,other_noninstitutional,26_34,3150
UT,other_noninstitutional,35_44,844
UT,other_noninstitutional,45_54,1640
UT,other_noninstitutional,55_64,980
UT,other_noninstitutional,65p,1690
UT,other_noninstitutional,u18,375
VA,dorm_student,18_25,92970
VA,institutional,18_25,6422
VA,institutional,26_34,16236
VA,institutional,35_44,19895
VA,institutional,45_54,9295
VA,institutional,55_64,10321
VA,institutional,65p,33122
VA,institutional,u18,1512
VA,other_noninstitutional,18_25,25100
VA,other_noninstitutional,26_34,5892
VA,other_noninstitutional,35_44,3273
VA,other_noninstitutional,45_54,2907
VA,other_noninstitutional,55_64,4582
VA,other_noninstitutional,65p,4338
VA,other_noninstitutional,u18,395
VT,dorm_student,18_25,15447
VT,institutional,18_25,227
VT,institutional,26_34,208
VT,institutional,35_44,614
VT,institutional,45_54,217
VT,institutional,55_64,261
VT,institutional,65p,3438
VT,institutional,u18,87
VT,other_noninstitutional,18_25,991
VT,other_noninstitutional,26_34,901
VT,other_noninstitutional,35_44,340
VT,other_noninstitutional,45_54,648
VT,other_noninstitutional,55_64,664
VT,other_noninstitutional,65p,129
VT,other_noninstitutional,u18,785
WA,dorm_student,18_25,35897
WA,institutional,18_25,2558
WA,institutional,26_34,7913
WA,institutional,35_44,7720
WA,institutional,45_54,3923
WA,institutional,55_64,4989
WA,institutional,65p,22806
WA,institutional,u18,1422
WA,other_noninstitutional,18_25,19753
WA,other_noninstitutional,26_34,13440
WA,other_noninstitutional,35_44,6107
WA,other_noninstitutional,45_54,6065
WA,other_noninstitutional,55_64,5935
WA,other_noninstitutional,65p,14546
WA,other_noninstitutional,u18,452
WI,dorm_student,18_25,54922
WI,institutional,18_25,3071
WI,institutional,26_34,8119
WI,institutional,35_44,8867
WI,institutional,45_54,5554
WI,institutional,55_64,4858
WI,institutional,65p,25503
WI,institutional,u18,844
WI,other_noninstitutional,18_25,2768
WI,other_noninstitutional,26_34,3158
WI,other_noninstitutional,35_44,3758
WI,other_noninstitutional,45_54,3511
WI,other_noninstitutional,55_64,5179
WI,other_noninstitutional,65p,7055
WI,other_noninstitutional,u18,255
WV,dorm_student,18_25,16501
WV,institutional,18_25,1916
WV,institutional,26_34,5976
WV,institutional,35_44,7752
WV,institutional,45_54,3568
WV,institutional,55_64,2437
WV,institutional,65p,9223
WV,institutional,u18,435
WV,other_noninstitutional,18_25,459
WV,other_noninstitutional,26_34,553
WV,other_noninstitutional,35_44,939
WV,other_noninstitutional,45_54,385
WV,other_noninstitutional,55_64,538
WV,other_noninstitutional,65p,999
WV,other_noninstitutional,u18,387
WY,dorm_student,18_25,5255
WY,institutional,18_25,403
WY,institutional,26_34,1386
WY,institutional,35_44,927
WY,institutional,45_54,614
WY,institutional,55_64,468
WY,institutional,65p,2524
WY,institutional,u18,285
WY,other_noninstitutional,18_25,343
WY,other_noninstitutional,26_34,369
WY,other_noninstitutional,35_44,160
WY,other_noninstitutional,45_54,104
WY,other_noninstitutional,55_64,184
WY,other_noninstitutional,65p,478
