state,pep_adults_18p,fa_ht2,residual_A,tolerance_pct,share_ht2,fa_B1,fa_B2,residual_B1,residual_B2,diff_B1_pct,diff_B2_pct,B1_within_tol,B2_within_tol,year
RI,892093,735690,156403,3.69659565142066,0.0034526439765538,739128.733273972,734955.211761554,152964.266726028,157137.788238446,-2.19863639058853,0.469804440097832,TRUE,TRUE,2022
SC,4152041,3340430,811611,3.28295797183588,0.0156768686791986,3356043.70657529,3337093.66448456,795997.29342471,814947.335515439,-1.92379188740546,0.411075689639318,TRUE,TRUE,2022
SD,688563,615590,72973,6.3284907780045,0.00288900638248006,618467.366575765,614975.164550687,70095.6334242349,73587.8354493131,-3.94305643973124,0.84255197033567,TRUE,TRUE,2022
TN,5493089,4429450,1063639,3.31714529489095,0.0207877147466273,4450153.96104391,4425025.97933534,1042935.03895609,1068063.02066466,-1.94652142728067,0.415932535819219,TRUE,TRUE,2022
TX,22576319,18416120,4160199,3.50162595341105,0.0864281229723009,18502199.9040648,18397726.4532972,4074119.09593515,4178592.54670284,-2.06912948310515,0.442131414935765,TRUE,TRUE,2022
UT,2446549,2154060,292489,5.57232858567581,0.010109152338805,2164128.42256403,2151908.58030841,282420.577435968,294640.419691592,-3.44232520335193,0.735555761615814,TRUE,TRUE,2022
VA,6794181,5668380,1125801,3.92975503896209,0.0266020987968003,5694874.91894075,5662718.56793616,1099306.08105925,1131462.43206384,-2.35342826491965,0.502880354861612,TRUE,TRUE,2022
VT,531700,457810,73890,4.74785011205315,0.00214853394623564,459949.877502966,457352.751154096,71750.1224970337,74347.2488459039,-2.89603126670222,0.618823718911754,TRUE,TRUE,2022
WA,6126868,5187000,939868,4.27063677021131,0.0243429492128268,5211244.87147045,5181819.35789148,915623.128529552,945048.642108524,-2.57960388804051,0.551209543097997,TRUE,TRUE,2022
WI,4640604,4053940,586664,5.2516863014525,0.0190254203840076,4072888.76696528,4049891.0290593,567715.23303472,590712.970940704,-3.22991814143706,0.690168638386535,TRUE,TRUE,2022
WV,1419350,1078350,341000,2.61367210309003,0.00506077102056137,1083390.38117412,1077272.97177218,335959.618825881,342077.028227825,-1.47811764636934,0.315844055080627,TRUE,TRUE,2022
WY,450855,394460,56395,5.31125715044765,0.00185122802130165,396303.769423604,394066.023503735,54551.2305763962,56788.9764962654,-3.26938456175874,0.698601819780809,TRUE,TRUE,2022
