state,age_band,income_tier,n_units,year
FL,75p,1_10k,163808,2022
FL,75p,10_25k,157768,2022
FL,75p,25_50k,4002,2022
GA,18_25,neg_zero,296408,2022
GA,18_25,1_10k,239252,2022
GA,18_25,10_25k,77610,2022
GA,18_25,25_50k,286,2022
GA,26_34,neg_zero,67619,2022
GA,26_34,1_10k,86324,2022
GA,26_34,10_25k,57471,2022
GA,26_34,25_50k,2162,2022
GA,35_44,neg_zero,51069,2022
GA,35_44,1_10k,65837,2022
GA,35_44,10_25k,51369,2022
GA,35_44,25_50k,2568,2022
GA,45_54,neg_zero,39956,2022
GA,45_54,1_10k,54055,2022
GA,45_54,10_25k,41326,2022
GA,45_54,25_50k,933,2022
GA,55_64,neg_zero,44306,2022
GA,55_64,1_10k,75523,2022
GA,55_64,10_25k,51513,2022
GA,55_64,25_50k,993,2022
GA,65_74,neg_zero,20083,2022
GA,65_74,1_10k,56868,2022
GA,65_74,10_25k,63788,2022
GA,65_74,25_50k,1578,2022
GA,75p,neg_zero,15375,2022
GA,75p,1_10k,43045,2022
GA,75p,10_25k,47417,2022
GA,75p,25_50k,1744,2022
HI,18_25,neg_zero,25625,2022
HI,18_25,1_10k,26574,2022
HI,18_25,10_25k,7669,2022
HI,18_25,25_50k,372,2022
HI,26_34,neg_zero,10192,2022
HI,26_34,1_10k,10102,2022
HI,26_34,10_25k,7318,2022
HI,26_34,25_50k,54,2022
HI,35_44,neg_zero,8912,2022
HI,35_44,1_10k,6960,2022
HI,35_44,10_25k,4467,2022
HI,35_44,25_50k,177,2022
HI,45_54,neg_zero,5512,2022
HI,45_54,1_10k,6535,2022
HI,45_54,10_25k,4896,2022
HI,45_54,25_50k,216,2022
HI,55_64,neg_zero,6441,2022
HI,55_64,1_10k,9077,2022
HI,55_64,10_25k,7345,2022
HI,55_64,25_50k,250,2022
HI,65_74,neg_zero,2574,2022
HI,65_74,1_10k,8550,2022
HI,65_74,10_25k,8154,2022
HI,65_74,25_50k,8,2022
HI,75p,neg_zero,3297,2022
HI,75p,1_10k,9300,2022
HI,75p,10_25k,5188,2022
HI,75p,25_50k,540,2022
IA,18_25,neg_zero,37413,2022
IA,18_25,1_10k,74086,2022
IA,18_25,10_25k,19954,2022
IA,26_34,neg_zero,12607,2022
IA,26_34,1_10k,16830,2022
IA,26_34,10_25k,14692,2022
IA,26_34,25_50k,586,2022
IA,35_44,neg_zero,8399,2022
IA,35_44,1_10k,14050,2022
IA,35_44,10_25k,11168,2022
IA,35_44,25_50k,562,2022
IA,45_54,neg_zero,6579,2022
IA,45_54,1_10k,6079,2022
IA,45_54,10_25k,11136,2022
IA,55_64,neg_zero,7221,2022
IA,55_64,1_10k,13506,2022
IA,55_64,10_25k,15349,2022
IA,55_64,25_50k,392,2022
IA,65_74,neg_zero,1998,2022
IA,65_74,1_10k,9713,2022
IA,65_74,10_25k,13419,2022
IA,65_74,25_50k,340,2022
IA,75p,neg_zero,2990,2022
IA,75p,1_10k,10012,2022
IA,75p,10_25k,12678,2022
IA,75p,25_50k,271,2022
ID,18_25,neg_zero,24992,2022
ID,18_25,1_10k,38208,2022
ID,18_25,10_25k,14689,2022
ID,18_25,25_50k,203,2022
ID,26_34,neg_zero,7356,2022
ID,26_34,1_10k,7174,2022
ID,26_34,10_25k,9302,2022
ID,26_34,25_50k,294,2022
ID,35_44,neg_zero,5642,2022
ID,35_44,1_10k,7278,2022
ID,35_44,10_25k,7047,2022
ID,35_44,25_50k,281,2022
ID,45_54,neg_zero,4090,2022
ID,45_54,1_10k,4907,2022
ID,45_54,10_25k,7990,2022
ID,45_54,25_50k,15,2022
ID,55_64,neg_zero,3660,2022
ID,55_64,1_10k,9460,2022
ID,55_64,10_25k,10327,2022
ID,55_64,25_50k,366,2022
ID,65_74,neg_zero,1556,2022
ID,65_74,1_10k,7151,2022
ID,65_74,10_25k,10628,2022
ID,65_74,25_50k,550,2022
ID,75p,neg_zero,1694,2022
ID,75p,1_10k,4400,2022
ID,75p,10_25k,6665,2022
ID,75p,25_50k,699,2022
IL,18_25,neg_zero,243786,2022
IL,18_25,1_10k,263478,2022
IL,18_25,10_25k,87157,2022
IL,18_25,25_50k,115,2022
IL,26_34,neg_zero,70339,2022
IL,26_34,1_10k,98758,2022
IL,26_34,10_25k,56016,2022
IL,26_34,25_50k,237,2022
IL,35_44,neg_zero,53657,2022
IL,35_44,1_10k,63180,2022
IL,35_44,10_25k,51922,2022
IL,35_44,25_50k,1704,2022
IL,45_54,neg_zero,42643,2022
IL,45_54,1_10k,54843,2022
IL,45_54,10_25k,44772,2022
IL,45_54,25_50k,2635,2022
IL,55_64,neg_zero,48807,2022
IL,55_64,1_10k,73055,2022
IL,55_64,10_25k,59173,2022
IL,55_64,25_50k,1842,2022
IL,65_74,neg_zero,23989,2022
IL,65_74,1_10k,63317,2022
IL,65_74,10_25k,62860,2022
IL,65_74,25_50k,2235,2022
IL,75p,neg_zero,23532,2022
IL,75p,1_10k,57767,2022
IL,75p,10_25k,52854,2022
IL,75p,25_50k,1743,2022
IN,18_25,neg_zero,126977,2022
IN,18_25,1_10k,148466,2022
IN,18_25,10_25k,50577,2022
IN,18_25,25_50k,245,2022
IN,26_34,neg_zero,35229,2022
IN,26_34,1_10k,45811,2022
IN,26_34,10_25k,31600,2022
IN,26_34,25_50k,708,2022
IN,35_44,neg_zero,26870,2022
IN,35_44,1_10k,36029,2022
IN,35_44,10_25k,24777,2022
IN,35_44,25_50k,1972,2022
IN,45_54,neg_zero,26309,2022
IN,45_54,1_10k,29576,2022
IN,45_54,10_25k,25827,2022
IN,45_54,25_50k,579,2022
IN,55_64,neg_zero,17932,2022
IN,55_64,1_10k,41238,2022
IN,55_64,10_25k,37901,2022
IN,55_64,25_50k,1403,2022
IN,65_74,neg_zero,9260,2022
IN,65_74,1_10k,27723,2022
