state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
NE,1460670,748350,527850,495850,15150,1276200,184470,0.00615949590399797,1265369.54892914,195300.45107086,0.133706073973492,20871,174429.45107086,271002,304708,0.889382622051275
NH,1104394,562100,423360,260380,15380,985460,118934,0.00475625829302134,977096.909330599,127297.090669401,0.115264199795907,21526,105771.090669401,226999,248250,0.914396777442095
NJ,7208294,3257310,2787240,2282770,93730,6044550,1163744,0.0291736255810303,5993253.0222376,1215040.9777624,0.168561517851852,52878,1162162.9777624,1272904,1463290,0.869891819119929
NM,1616806,633100,606700,531770,11720,1239800,377006,0.00598381368263335,1229278.45695216,387527.543047839,0.239687101017586,7563,379964.543047839,318723,367888,0.866358783107902
NV,2326992,954330,959470,815290,25870,1913800,413192,0.00923683063867051,1897558.56663578,429433.433364216,0.18454443907165,3265,426168.433364216,410535,471092,0.871453983510652
NY,16051698,6179000,6540690,4700950,224800,12719690,3332008,0.0613907525898166,12611744.5524357,3439953.44756426,0.214304645375478,202716,3237237.44756426,2756182,3262000,0.844936235438381
OH,9151037,4118280,3393480,2702940,342840,7511760,1639277,0.0362550187680738,7448011.56782946,1703025.43217054,0.186101906502022,108638,1594387.43217054,1740512,2013737,0.864319422049652
OK,2976623,1355980,943610,1010570,36480,2299590,677033,0.0110988208634028,2280074.56591597,696548.434084031,0.234006266189582,30633,665915.434084031,563777,620779,0.908176661903834
OR,3310672,1538000,1178570,930060,36080,2716570,594102,0.0131113475849583,2693515.87175555,617156.12824445,0.186414156474713,20760,596396.12824445,679533,744727,0.912459196457225
PA,10307234,4671840,3859100,2799060,130000,8530940,1776294,0.0411740244375901,8458542.31291455,1848691.68708545,0.179358660828448,159157,1689534.68708545,2128654,2369812,0.898237497320463
RI,879601,352370,359260,219140,12490,711630,167971,0.00343463569202482,705590.763285099,174010.236714901,0.197828602644723,22575,151435.236714901,166444,189539,0.878151726029999
SC,3921754,1704620,1389570,1248720,68520,3094190,827564,0.0149339058385766,3067931.20561123,853822.794388768,0.217714521203718,44988,808834.794388768,829060,903036,0.91808078526216
SD,659294,348140,243400,207730,7420,591540,67754,0.00285502915456116,586519.905166544,72774.0948334562,0.110381855186694,10051,62723.0948334562,141884,146474,0.968663380531698
TN,5285507,2351440,1844950,1672680,69960,4196390,1089117,0.0202536021129745,4160777.40278229,1124729.59721771,0.212795025570435,52311,1072418.59721771,1024517,1112086,0.921256989117748
TX,21251333,9443600,7816850,8306580,203580,17260450,3990883,0.0833064340042013,17113969.4646717,4137363.53532834,0.194687247869503,131612,4005751.53532834,3129831,3650891,0.857278675260368
UT,2236136,1243500,730320,977110,22940,1973820,262316,0.00952651324653602,1957069.20785717,279066.792142835,0.124798667050141,13481,265585.792142835,309952,351566,0.881632467303437
VA,6661310,3130060,2365680,2076920,106420,5495740,1165570,0.0265248299791865,5449100.48960338,1212209.51039662,0.181977645597731,83837,1128372.51039662,1153798,1316637,0.87632202345825
VT,520867,247360,201760,116180,6220,449120,71747,0.00216764833129883,445308.550239034,75558.449760966,0.145062846678645,15994,59564.449760966,113321,124623,0.909310480408913
WA,5878272,2904270,2143840,1838280,54270,5048110,830162,0.0243643730355204,5005269.29450296,873002.705497039,0.148513492655161,31674,841328.705497039,1042649,1170625,0.890677202349172
WI,4565887,2264100,1728850,1288270,28460,3992950,572937,0.0192717122471938,3959063.89311754,606823.106882457,0.1329036629427,53240,553583.106882457,934831,996897,0.9377408097326
WV,1442570,643010,435740,387850,15630,1078750,363820,0.00520651638178797,1069595.20522435,372974.794775655,0.258548836296093,16125,356849.794775655,326489,355318,0.918864228662775
WY,438231,233130,154100,138050,5370,387230,51001,0.00186894029063245,383943.778743011,54287.2212569889,0.123878094559693,3866,50421.2212569889,86041,95113,0.904618716684365
