state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
ME,1083287,519060,385600,256450,11500,904660,178627,0.00445757659910744,896968.683372223,186318.316627777,0.171993494455095,,,237155,261484,0.906957978308424
MI,7802415,3591880,2884340,2337660,76900,6476220,1326195,0.0319106036772617,6421159.91270628,1381255.08729372,0.177029174594497,,,1514473,1618464,0.935747103426459
MN,4254348,2176630,1630030,1343500,38210,3806660,447688,0.0187567467742117,3774296.20879193,480051.79120807,0.112837922804639,,,760371,833407,0.912364546974047
MO,4702116,2190960,1658440,1458740,55040,3849400,852716,0.0189673417202089,3816672.83816355,885443.161836452,0.188307383704794,,,888258,976388,0.90973875139801
MS,2269849,827850,804400,872040,23910,1632250,637599,0.00804266730472567,1618372.7957844,651476.204215604,0.287013014617098,,,418309,456701,0.915936247128865
MT,814857,411640,290310,224110,9160,701950,112907,0.00345875344742054,695982.100781655,118874.899218345,0.145884368936322,,,167707,185328,0.904919925753259
NC,7790484,3484230,2719570,2668870,100370,6203800,1586684,0.0305682949456622,6151055.9966226,1639428.0033774,0.210439813929071,,,1432041,1560981,0.917398097734694
ND,588035,290910,212020,170890,5330,502930,85105,0.00247811221783776,498654.146229956,89380.8537700437,0.151999207139105,,,99974,110310,0.906300426071979
NE,1441369,744100,519200,500460,13960,1263300,178069,0.0062247214618226,1252559.56680314,188809.433196859,0.130993127503685,,,258001,288431,0.894498164205651
NH,1086611,556210,413360,265630,14250,969570,117041,0.00477741089823426,961326.825920464,125284.174079536,0.115298091110376,,,212236,230241,0.921799332004291
NJ,7106283,3221800,2730330,2335960,86860,5952130,1154153,0.0293282287299597,5901525.66639435,1204757.33360565,0.169534105749187,,,1224654,1395107,0.87782084098209
NM,1601723,633920,585570,557800,10720,1219490,382233,0.00600885425115019,1209122.03445006,392600.965549939,0.245111648861844,,,295911,342356,0.864337122761103
NV,2232476,917550,907430,861530,22610,1824980,407496,0.00899231550177868,1809464.22720209,423011.772797913,0.18948099455399,,,378432,434225,0.871511313259255
NY,15925806,6143770,6415260,4842450,204530,12559030,3366776,0.0618827385266159,12452254.5525747,3473551.44742527,0.218108361198502,,,2634051,3101134,0.84938316112751
OH,9070617,4121400,3339560,2761190,345020,7460960,1609657,0.0367627624774795,7397527.76500876,1673089.23499124,0.184451535655319,,,1668357,1909741,0.873603802819335
OK,2956959,1354670,921860,1032610,34450,2276530,680429,0.0112172604682047,2257175.20035966,699783.799640343,0.236656578478208,,,537434,590748,0.909751704618551
OR,3219228,1516500,1123860,959390,33720,2640360,578868,0.0130099782782695,2617911.95899972,601316.041000284,0.18678889503952,,,632367,687946,0.919210228709811
PA,10226802,4680320,3787900,2843770,121240,8468220,1758582,0.0417258852033843,8396224.15482759,1830577.84517241,0.178998072434805,,,2041553,2253254,0.906046544242238
RI,868577,350690,348500,222640,11050,699190,169387,0.00344515396096869,693245.565988355,175331.434011646,0.201860553539462,,,159050,179194,0.887585521836669
SC,3817601,1656120,1343510,1273450,64520,2999630,817971,0.0147802273715878,2974127.48624215,843473.513757852,0.220943339484103,,,766471,832046,0.921188251611089
SD,647332,344200,240340,205350,6900,584540,62792,0.00288023326469863,579570.307273892,67761.6927261077,0.104678422704436,,,133202,136956,0.972589736849791
TN,5160482,2315430,1801120,1721230,64570,4116550,1043932,0.0202836833164457,4081551.55918901,1078930.44081099,0.209075516746497,,,967579,1048147,0.92313291933288
TX,20600453,9083140,7486930,8421340,175720,16570070,4030383,0.0816465371272878,16429193.1458068,4171259.85419321,0.202483889756852,,,2902619,3374382,0.860192770113164
UT,2131435,1198280,678580,1013050,22120,1876860,254575,0.00924794642827227,1860903.14933123,270531.85066877,0.126924748194887,,,285641,321993,0.887103135782455
VA,6561254,3094710,2313080,2111280,100070,5407790,1153464,0.0266460749418425,5361813.58328375,1199440.41671625,0.182806581899779,,,1083267,1231597,0.879562876492879
VT,514973,248900,198590,118360,5640,447490,67483,0.00220493992476133,443685.4908167,71287.5091832996,0.138429605403195,,,106446,115794,0.919270428519612
WA,5672082,2824000,2053460,1901860,47260,4877460,794622,0.0240329533295189,4835992.38874349,836089.611256512,0.147404358973744,,,969835,1079663,0.898275665647521
WI,4511019,2256300,1702370,1334540,24560,3958670,552349,0.0195057532725982,3925013.8370273,586005.162972699,0.12990527483318,,,880840,934182,0.942899777559405
WV,1459304,658140,430340,399890,14660,1088480,370824,0.00536332210620174,1079225.8665985,380078.133401502,0.26045164914336,,,313290,341536,0.917297151691183
WY,441526,231640,151090,142820,4980,382730,58796,0.00188584472815908,379476.072985487,62049.9270145127,0.140535159910204,,,79840,87802,0.909318694334981
