state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
OK,1344190,1029770,1009990,1571805,1458651,956183,227615,0.855188779778662,428881,0.705974218644487,-53807,1.05627270093695
OR,1520040,1267580,870570,1719369,1670102,856684,199329,0.884068515833425,402522,0.758983583038641,-13886,1.01620901055698
PA,4582850,4044390,2722840,5187396,5103862,2672798,604546,0.883458675605256,1059472,0.792417584958214,-50042,1.01872270182782
RI,347120,379160,208640,413069,473936,208605,65949,0.840343865068548,94776,0.800023631882786,-35,1.0001677812133
SC,1760760,1528010,1240880,2042702,2032851,1115152,281942,0.86197595146037,504841,0.75165863115398,-125728,1.11274516837167
SD,355690,260010,214180,363107,313199,219070,7417,0.979573514143214,53189,0.830175064415915,4890,0.977678367645045
TN,2417570,1996000,1674890,2785573,2654436,1535209,368003,0.867889658608839,658436,0.751948813231888,-139681,1.09098500595033
TX,9579120,8575500,8226190,11629846,10442111,7455984,2050726,0.823666968590986,1866611,0.821241988329754,-770206,1.10330038261885
UT,1290850,828200,951350,1410766,983166,944043,119916,0.91499936913705,154966,0.842380635620028,-7307,1.00774011353296
VA,3099530,2511350,2021630,3505741,3255751,1880782,406211,0.884129774561213,744401,0.77135812904611,-140848,1.07488799871543
VT,247250,209110,114410,274336,254539,116695,27086,0.901267059372448,45429,0.821524402940218,2285,0.980419041090021
WA,2899700,2277930,1751280,3210719,2854493,1673480,311019,0.903131043233618,576563,0.798015619586385,-77800,1.04648994908813
WI,2247770,1795740,1251720,2412129,2212258,1271521,164359,0.931861438588069,416518,0.811722683339827,19801,0.984427311857217
WV,628270,464450,381050,732071,691157,359731,103801,0.858209108132954,226707,0.671989142843088,-21319,1.05926372761869
WY,233010,162580,135360,253266,194680,130857,20256,0.920020847646348,32100,0.835114033285391,-4503,1.03441160961966
