state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
ME,1089409,522940,392510,256220,915450,173959,0.15968199271348,15616,158343,243765,270329,0.901734553081615
MI,7845511,3600250,2922420,2318740,6522670,1322841,0.16861119689973,65085,1257756,1553896,1665600,0.932934678194044
MN,4294563,2189200,1657490,1342200,3846690,447873,0.104288375790505,43852,404021,784547,862731,0.909376155487632
MO,4724824,2196240,1685040,1453480,3881280,843544,0.178534480861086,52320,791224,908800,1000959,0.907929295805323
MS,2276826,826080,809970,861220,1636050,640776,0.281433890863861,29088,611688,429364,469736,0.914053851525112
MT,825358,414130,294660,224530,708790,116568,0.141233258779826,6256,110312,174233,192948,0.903004954702821
NC,7885482,3505230,2773630,2637640,6278860,1606622,0.203744298699813,90754,1515868,1481565,1618038,0.915655256551453
ND,588969,291770,214300,173360,506070,82899,0.14075273910851,8929,73970,102812,113855,0.903008212199728
NE,1451128,747410,524920,501520,1272330,178798,0.123213114211841,21717,157081,264346,296569,0.891347376158668
NH,1096377,559530,419970,262790,979500,116877,0.10660292946678,20962,95915,219362,239177,0.917153405218729
NJ,7161517,3243770,2770460,2321960,6014230,1147287,0.160201672355173,54926,1092361,1249367,1427728,0.875073543420035
NM,1608707,634200,599720,550670,1233920,374787,0.232974059291095,7694,367093,307512,355013,0.866199265942374
NV,2276830,936900,937390,855230,1874290,402540,0.176798443449884,3954,398586,393957,452011,0.871565072531421
NY,15990731,6174990,6499940,4794420,12674930,3315801,0.207357687400282,200927,3114874,2695543,3180880,0.847420525137698
OH,9114358,4126550,3381950,2746200,7508500,1605858,0.176189919246095,109054,1496804,1705244,1961707,0.869265389785529
OK,2964897,1357000,933660,1029360,2290660,674237,0.227406550716602,28253,645984,550072,605256,0.908825356543347
OR,3270859,1531390,1155300,952800,2686690,584169,0.178598038007753,19758,564411,655226,716136,0.914946323044785
PA,10262004,4679940,3833150,2830290,8513090,1748914,0.170426166273176,159045,1589869,2083821,2309575,0.902253011917777
RI,872731,352200,354720,221560,706920,165811,0.189990959413611,23145,142666,162468,184050,0.882738386308068
SC,3868196,1675570,1369370,1263400,3044940,823256,0.212826857791074,42384,780872,797317,867065,0.919558510607625
SD,654631,346530,242510,207190,589040,65591,0.100195377243058,9312,56279,137556,141396,0.972842230331834
TN,5222454,2337070,1833530,1701350,4170600,1051854,0.201409911891996,50970,1000884,994961,1079098,0.922030251191273
TX,20933570,9414070,7718330,8526560,17132400,3801170,0.181582501216945,128605,3672565,3013278,3509660,0.85856692671085
UT,2185310,1221390,703620,1005250,1925010,260300,0.11911353537942,13216,247084,297152,336349,0.883463307457433
VA,6616004,3117330,2350190,2103460,5467520,1148484,0.173591793475336,83852,1064632,1117980,1273224,0.878070158903696
VT,518281,248580,201060,117400,449640,68641,0.132439738288689,15542,53099,109868,120191,0.914111705535356
WA,5784443,2869290,2108840,1897350,4978130,806313,0.139393369422086,31129,775184,1005651,1124357,0.894423212556154
WI,4537923,2262600,1722200,1317140,3984800,553123,0.121889022797434,53433,499690,907428,965591,0.939764351573285
WV,1450586,651230,433520,396460,1084750,365836,0.252198766567442,14175,351661,320384,348634,0.918969463678241
WY,438255,232110,152780,141130,384890,53365,0.121767007792267,2937,50428,82976,91229,0.909535345120521
