state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
NY,16083813,6072400,6603810,4588830,241720,12676210,3407603,0.0599993515482023,12562641.7874051,3521171.21259488,0.2189263959109,,,2817557,3343160,0.842782576963113
OH,9188777,4105800,3524180,2681120,363680,7629980,1558797,0.0361144105632325,7561621.77694006,1627155.22305994,0.177080717385996,,,1784426,2071234,0.861527958695155
OK,2994567,1363280,1002150,1011350,40520,2365430,629137,0.0111961119398199,2344237.73061362,650329.269386378,0.217169717487162,,,580052,638345,0.908681042383037
OR,3346817,1552550,1246330,917220,41230,2798880,547937,0.0132477282295917,2773804.38206155,573012.617938449,0.171211218880043,,,704857,773609,0.911128231445084
PA,10332623,4632570,3967330,2757860,141290,8599900,1732723,0.0407052599617224,8522852.10701821,1809770.89298179,0.175151158905322,,,2179223,2433373,0.895556497092719
RI,883703,350480,369070,214130,13900,719550,164153,0.00340579190519161,713103.435342848,170599.564657152,0.19305079269523,,,170815,195317,0.874552650306937
SC,3975208,1715670,1461250,1237620,75550,3176920,798288,0.0150370765331684,3148457.46064818,826750.539351818,0.207976674265049,,,864125,940797,0.918503141485358
SD,665520,353190,255560,208850,8430,608750,56770,0.00288135059729747,603296.110437021,62223.889562979,0.0934966485800261,,,146212,152121,0.961155921930568
TN,5339172,2362510,1927880,1657830,77490,4290390,1048782,0.0203073803517685,4251951.70309304,1087220.29690696,0.203630880763339,,,1057770,1148895,0.920684657866907
TX,21590669,9643120,8393140,8333970,238760,18036260,3554409,0.0853696731400616,17874670.2338083,3715998.76619167,0.172111330417398,,,3260949,3795280,0.859211705065239
UT,2285948,1270560,782510,968310,25880,2053070,232878,0.00971764184113925,2034676.21429969,251271.785700313,0.109920166906821,,,323613,368101,0.879141865955268
VA,6710876,3109530,2450830,2039280,114970,5560360,1150516,0.0263184338516451,5510543.83676319,1200332.16323681,0.178863707694317,,,1191558,1360582,0.875770809844611
VT,522793,245640,205340,113950,6920,450980,71813,0.00213458972052438,446939.597346838,75853.4026531619,0.145092613430482,,,116934,128650,0.908931208705791
WA,5963463,2936070,2258560,1816090,62310,5194630,768833,0.0245873515453624,5148090.4708985,815372.5291015,0.136728026836336,,,1082230,1216592,0.889558701684706
WI,4593258,2257360,1768120,1264800,32480,4025480,567778,0.0190535017698711,3989415.07456595,603842.925434054,0.131462880037232,,,964708,1031591,0.935165196284186
WV,1436732,638970,452760,384460,17770,1091730,345002,0.00516740351143748,1081949.01461587,354782.985384133,0.246937484084807,,,333190,361996,0.920424535077736
WY,439613,234340,160480,136560,5980,394820,44793,0.00186877181572893,391282.743856665,48330.2561433353,0.109938186867393,,,89405,98841,0.904533543772321
