state,age_band,income_tier,n_units,n_adults,year
IL,65_74,neg_zero,20948,25771,2018
IL,65_74,1_10k,66298,71624,2018
IL,65_74,10_25k,42996,67562,2018
IL,75p,neg_zero,15879,18004,2018
IL,75p,1_10k,62101,66877,2018
IL,75p,10_25k,37534,56358,2018
IN,18_25,neg_zero,136663,136711,2018
IN,18_25,1_10k,169401,170379,2018
IN,18_25,10_25k,41490,44736,2018
IN,26_34,neg_zero,33336,33906,2018
IN,26_34,1_10k,58783,60984,2018
IN,26_34,10_25k,36828,45906,2018
IN,35_44,neg_zero,24982,25517,2018
IN,35_44,1_10k,37960,39956,2018
IN,35_44,10_25k,27959,36602,2018
IN,45_54,neg_zero,24336,25461,2018
IN,45_54,1_10k,39493,41494,2018
IN,45_54,10_25k,22587,30051,2018
IN,55_64,neg_zero,18984,19675,2018
IN,55_64,1_10k,53457,58621,2018
IN,55_64,10_25k,25879,38654,2018
IN,65_74,neg_zero,6918,8368,2018
IN,65_74,1_10k,26827,29445,2018
IN,65_74,10_25k,22112,32996,2018
IN,75p,neg_zero,4439,5162,2018
IN,75p,1_10k,25066,26159,2018
IN,75p,10_25k,17807,27115,2018
KS,18_25,neg_zero,41323,42152,2018
KS,18_25,1_10k,79223,79346,2018
KS,18_25,10_25k,21490,23098,2018
KS,26_34,neg_zero,10434,10434,2018
KS,26_34,1_10k,23922,25232,2018
KS,26_34,10_25k,11491,13836,2018
KS,35_44,neg_zero,7710,8291,2018
KS,35_44,1_10k,14520,15611,2018
KS,35_44,10_25k,9783,13233,2018
KS,45_54,neg_zero,7877,8240,2018
KS,45_54,1_10k,15337,16180,2018
KS,45_54,10_25k,8219,11201,2018
KS,55_64,neg_zero,6904,7305,2018
KS,55_64,1_10k,19470,20544,2018
KS,55_64,10_25k,7839,11401,2018
KS,65_74,neg_zero,2691,3111,2018
KS,65_74,1_10k,12193,13522,2018
KS,65_74,10_25k,9149,13928,2018
KS,75p,neg_zero,2546,3278,2018
KS,75p,1_10k,9439,10509,2018
KS,75p,10_25k,8677,13863,2018
KY,18_25,neg_zero,107714,107919,2018
KY,18_25,1_10k,112762,113449,2018
KY,18_25,10_25k,28149,32020,2018
KY,26_34,neg_zero,27093,27530,2018
KY,26_34,1_10k,46157,48995,2018
KY,26_34,10_25k,25138,33080,2018
KY,35_44,neg_zero,26224,28328,2018
KY,35_44,1_10k,38316,42207,2018
KY,35_44,10_25k,20610,26635,2018
KY,45_54,neg_zero,20990,22575,2018
KY,45_54,1_10k,39754,44024,2018
KY,45_54,10_25k,22420,33160,2018
KY,55_64,neg_zero,13933,15201,2018
KY,55_64,1_10k,48324,51903,2018
KY,55_64,10_25k,25379,39642,2018
KY,65_74,neg_zero,3096,3840,2018
KY,65_74,1_10k,30502,32493,2018
KY,65_74,10_25k,19209,31224,2018
KY,75p,neg_zero,3568,4197,2018
KY,75p,1_10k,21054,22419,2018
KY,75p,10_25k,19007,28407,2018
LA,18_25,neg_zero,142641,142703,2018
LA,18_25,1_10k,131194,131686,2018
LA,18_25,10_25k,28620,30485,2018
LA,26_34,neg_zero,40918,42125,2018
LA,26_34,1_10k,57864,58777,2018
LA,26_34,10_25k,27315,34640,2018
LA,35_44,neg_zero,30357,30972,2018
LA,35_44,1_10k,45439,46474,2018
LA,35_44,10_25k,29554,36775,2018
LA,45_54,neg_zero,29485,31309,2018
LA,45_54,1_10k,42346,44821,2018
LA,45_54,10_25k,24181,30347,2018
LA,55_64,neg_zero,22192,23214,2018
LA,55_64,1_10k,53048,56031,2018
LA,55_64,10_25k,24754,37804,2018
LA,65_74,neg_zero,6631,8655,2018
LA,65_74,1_10k,34880,36453,2018
LA,65_74,10_25k,24265,37330,2018
LA,75p,neg_zero,4493,4930,2018
LA,75p,1_10k,28189,29821,2018
LA,75p,10_25k,18319,28311,2018
MA,18_25,neg_zero,113807,113807,2018
MA,18_25,1_10k,160609,161434,2018
MA,18_25,10_25k,31519,32513,2018
MA,26_34,neg_zero,33199,33789,2018
MA,26_34,1_10k,58953,59993,2018
MA,26_34,10_25k,27496,32470,2018
MA,35_44,neg_zero,17146,17917,2018
MA,35_44,1_10k,29033,29910,2018
MA,35_44,10_25k,25275,32485,2018
MA,45_54,neg_zero,17971,18522,2018
MA,45_54,1_10k,36294,38529,2018
MA,45_54,10_25k,21975,28774,2018
MA,55_64,neg_zero,26377,28306,2018
MA,55_64,1_10k,47029,49427,2018
MA,55_64,10_25k,27818,38298,2018
MA,65_74,neg_zero,12923,14827,2018
MA,65_74,1_10k,31212,33920,2018
MA,65_74,10_25k,22716,33052,2018
MA,75p,neg_zero,10416,11522,2018
MA,75p,1_10k,35783,37911,2018
MA,75p,10_25k,23206,32208,2018
MD,18_25,neg_zero,114217,114317,2018
MD,18_25,1_10k,143936,144191,2018
MD,18_25,10_25k,30560,31459,2018
MD,26_34,neg_zero,33846,34014,2018
MD,26_34,1_10k,52916,54284,2018
MD,26_34,10_25k,21325,25351,2018
MD,35_44,neg_zero,20768,21259,2018
MD,35_44,1_10k,30000,31175,2018
MD,35_44,10_25k,20364,25301,2018
MD,45_54,neg_zero,19189,20302,2018
MD,45_54,1_10k,28876,30733,2018
MD,45_54,10_25k,15575,20259,2018
MD,55_64,neg_zero,20306,21665,2018
MD,55_64,1_10k,47172,49733,2018
MD,55_64,10_25k,17816,24484,2018
MD,65_74,neg_zero,10890,11724,2018
MD,65_74,1_10k,27025,29613,2018
MD,65_74,10_25k,13533,20516,2018
MD,75p,neg_zero,9003,10007,2018
MD,75p,1_10k,26629,27980,2018
MD,75p,10_25k,13935,22141,2018
ME,18_25,neg_zero,14675,14675,2018
ME,18_25,1_10k,25268,25491,2018
ME,18_25,10_25k,8229,8267,2018
ME,26_34,neg_zero,4100,4267,2018
ME,26_34,1_10k,12196,12747,2018
ME,26_34,10_25k,5336,6605,2018
ME,35_44,neg_zero,5153,5153,2018
ME,35_44,1_10k,6806,7104,2018
ME,35_44,10_25k,5043,6188,2018
ME,45_54,neg_zero,2138,2277,2018
ME,45_54,1_10k,9022,9212,2018
ME,45_54,10_25k,4375,5981,2018
