state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,mfs_qss_returns,filing_adults_ht2,residual_nonfiling_adults_ht2basis,ht2_filing_share,filing_adults,residual_nonfiling_adults,residual_share_of_adults,dorm_dependents,residual_nonfiling_adults_net_dorm,beneficiaries_65p,pep_65p,ssa_65p_coverage
IL,9965286,4472170,3844880,3678680,100290,8317050,1648236,0.0414438312147459,8272350.67295567,1692935.32704433,0.169883265472193,,,1580059,1803670,0.87602443906036
IN,5016747,2438620,1832120,1790710,54680,4270740,746007,0.0212810825619738,4247787.24584062,768959.754159382,0.153278559624271,,,889217,945822,0.94015258685038
KS,2184282,1133090,758840,776300,22130,1891930,292352,0.00942748060792159,1881761.97193536,302520.028064635,0.138498613303884,,,379144,416542,0.910217937206812
KY,3405615,1558390,1094200,1115300,36870,2652590,753025,0.0132178467415638,2638333.86496119,767281.135038807,0.22529884764978,,,596915,654601,0.91187608940408
LA,3533083,1346550,1320610,1345900,27870,2667160,865923,0.0132904490008743,2652825.55964921,880257.440350791,0.249147116088354,,,553876,635750,0.871216673220606
MA,5418497,2394110,2115230,1472920,62870,4509340,909157,0.0224700255318776,4485104.90902254,933392.090977457,0.172260331781573,,,881566,1036691,0.850365248661366
MD,4651330,2030040,1877560,1646690,85980,3907600,743730,0.0194715572053482,3886598.91303306,764731.086966943,0.164411273112624,,,691432,823124,0.840009524688868
ME,1075261,516170,374670,260440,11070,890840,184421,0.00443905262074224,886052.250917793,189208.749082207,0.175965415915026,,,225169,245343,0.917772261690776
MI,7730783,3598770,2850100,2412430,71690,6448870,1281913,0.0321346967741974,6414211.0585248,1316571.9414752,0.17030253487586,,,1444274,1531920,0.942786829599457
MN,4184478,2158480,1590800,1348250,35460,3749280,435198,0.018682649196148,3729129.7913442,455348.208655804,0.108818401878515,,,718415,780059,0.920975208285527
MO,4663843,2199290,1641240,1477680,52990,3840530,823313,0.0191373476286866,3819889.37544038,843953.624559615,0.180956696989932,,,850555,929611,0.914957977046313
MS,2260712,840140,811620,917290,23480,1651760,608952,0.00823071433347987,1642882.7465942,617829.253405803,0.273289677502399,,,397660,431269,0.922069520415332
MT,797636,406730,284400,221210,8470,691130,106506,0.00344389838553903,687415.57650848,110220.42349152,0.138183862678615,,,155936,171143,0.911144481515458
NC,7601586,3412270,2627360,2752180,94630,6039630,1561956,0.030095455277955,6007170.48651905,1594415.51348095,0.209747743889361,,,1341149,1453279,0.922843445752674
ND,575168,295140,220440,167980,5120,515580,59588,0.00256913334628248,512809.0560911,62358.9439088996,0.108418660128692,,,95700,105114,0.910440093612649
NE,1418475,741300,511980,499640,12960,1253280,165195,0.00624508987980315,1246544.34581996,171930.654180042,0.121208096145538,,,246345,272314,0.904635824819877
NH,1070103,551950,402220,271830,13670,954170,115933,0.00475462579041537,949041.888844496,121061.111155504,0.113130335262591,,,199935,214342,0.93278498847636
NJ,7007708,3217300,2692650,2409840,82660,5909950,1097758,0.0294492602891155,5878187.44141665,1129520.55858335,0.161182594734733,,,1180551,1328330,0.888748277912868
NM,1589096,646280,583480,582760,10280,1229760,359336,0.0061278898016299,1223150.75219867,365945.247801328,0.230285173332088,,,276893,318634,0.86900016947344
NV,2150681,891880,865360,877440,20820,1757240,393441,0.00875632080651194,1747795.85268149,402885.147318505,0.187329105208306,,,348360,397213,0.877010571154519
NY,15745801,6141290,6357100,5004710,192210,12498390,3247411,0.0622794338877448,12431218.3920215,3314582.6079785,0.210505810912922,,,2527345,2942667,0.858862045892383
OH,8996877,4145940,3309500,2829090,354960,7455440,1541437,0.0371504315823117,7415371.32771603,1581505.67228397,0.175783849471763,,,1605105,1812770,0.885443271898807
OK,2918298,1373580,936200,1047540,33740,2309780,608518,0.0115096257042095,2297366.27017747,620931.729822527,0.212771872448436,,,514038,562246,0.914258171689972
OR,3102895,1483500,1068710,973920,32200,2552210,550685,0.0127176535507886,2538493.34932749,564401.65067251,0.181895181974418,,,587430,632381,0.928917851738113
PA,10166347,4717060,3753630,2903870,113880,8470690,1695657,0.042209418800228,8425164.94693418,1741182.05306582,0.171269193650957,,,1968219,2152804,0.914258334711381
RI,857583,352890,340150,228910,10590,693040,164543,0.00345341590889408,689315.311364631,168267.68863537,0.196211548777634,,,153349,170361,0.900141464302276
SC,3711349,1593840,1296670,1298570,61440,2890510,820839,0.0144034012738333,2874975.1827493,836373.817250695,0.225355744569076,,,708065,762398,0.928734073279311
SD,638089,341260,237180,203810,6240,578440,59649,0.00288236450759075,575331.219995609,62757.780004391,0.0983527062908011,,,125947,128617,0.979240691354953
TN,5057964,2282200,1756480,1777340,61580,4038680,1019284,0.0201247283893171,4016974.43394624,1040989.56605376,0.205811976133827,,,915988,985515,0.929451099171499
TX,19824017,9002100,7407390,8491560,167140,16409490,3414527,0.0817684315809165,16321298.4945815,3502718.50541846,0.176690652828761,,,2701705,3110341,0.868620193091368
UT,2039798,1151380,635570,1018990,20820,1786950,252848,0.00890436563315,1777346.17863763,262451.821362365,0.128665594025666,,,264139,295735,0.89316110707221
VA,6460029,3089760,2278020,2159150,97580,5367780,1092249,0.0267476290653403,5338931.29117632,1121097.70882368,0.173543757903205,,,1017990,1148522,0.886347845317721
VT,510157,249610,195400,121300,5350,445010,65147,0.00221748328179752,442618.328971451,67538.6710285493,0.132388011981702,,,100492,107614,0.933819019830134
WA,5459613,2739310,1951080,1895690,44050,4690390,769223,0.0233721970519995,4665181.87012517,794431.129874828,0.14551052059456,,,900203,990522,0.908816765301528
WI,4467486,2251270,1674520,1378890,22250,3925790,541696,0.0195621979120647,3904691.15231755,562794.847682453,0.12597573840913,,,834233,878173,0.949964300883767
WV,1470532,679440,436170,411300,14180,1115610,354922,0.005559080748761,1109614.24234026,360917.757659738,0.245433460584154,,,300151,326849,0.918317021009702
WY,441498,237050,158940,146470,4970,395990,45508,0.0019732167923395,393861.783082189,47636.2169178114,0.107896789833275,,,74458,81589,0.912598512054321
