state,irs_married_adults,irs_single_adults,irs_children,acs_married_adults,acs_single_adults,acs_children,nonfiler_married_adults,irs_share_married_adults,nonfiler_single_adults,irs_share_single_adults,nonfiler_children,irs_share_children
MI,3533770,3056990,2161220,3946178,3985258,2102682,412408,0.895491789777349,928268,0.767074553266062,-58538,1.02783968284315
MN,2184440,1755340,1291830,2405576,2033595,1278013,221136,0.90807357572573,278255,0.863170887025194,-13817,1.01081131412591
MO,2190460,1750110,1425810,2457172,2358722,1362063,266712,0.891455705990464,608612,0.741973831591854,-63747,1.04680179991674
MS,800380,830570,791110,1074819,1189702,675536,274439,0.744664915674174,359132,0.698132809728823,-115574,1.17108488666777
MT,432710,328330,225530,475106,413425,234336,42396,0.910765176613219,85095,0.794170647638629,8806,0.96242148026765
NC,3680730,3039570,2564210,4365131,4040925,2292917,684401,0.843211807389057,1001355,0.752196588652351,-271293,1.11831784578334
ND,288270,220500,177310,331448,267956,179857,43178,0.869729188288962,47456,0.822896296406873,2547,0.985838749673352
NE,745690,559250,487630,806199,687872,473852,60509,0.92494532987513,128622,0.813014630628954,-13778,1.02907658931481
NH,576340,434420,255300,608566,537188,249477,32226,0.947046006513673,102768,0.808692673700827,-5823,1.0233408290143
NJ,3247950,2955280,2227930,3760627,3512233,1988839,512677,0.863672467383763,556953,0.841424814355995,-239091,1.12021636743849
NM,623580,668330,491450,745357,912761,455226,121777,0.836619230784711,244431,0.73220700709167,-36224,1.07957366231279
NV,976940,1048800,766930,1178095,1310335,689342,201155,0.829254007529104,261535,0.800406003045023,-77588,1.11255371064
NY,5932410,6666320,4410800,7332639,8365371,3979141,1400229,0.809041601529818,1699051,0.796894722302215,-431659,1.10848044841839
OH,4039830,3488820,2640730,4583371,4619864,2552823,543541,0.881410210956085,1131044,0.755178074506089,-87907,1.03443521152857
OK,1350220,1017040,1011790,1592497,1475534,951769,242277,0.84786344966427,458494,0.689269105286629,-60021,1.0630625708549
OR,1514070,1253170,855050,1694755,1713303,832079,180685,0.893385769624518,460133,0.731435128520758,-22971,1.02760675368565
PA,4585620,3957610,2720930,5204339,5154360,2613309,618719,0.881114777496239,1196750,0.767817925018819,-107621,1.04118188855585
RI,351820,383870,208570,409551,481405,202778,57731,0.859038312688774,97535,0.797395124687114,-5792,1.02856325636903
SC,1800770,1539660,1253380,2156479,2009312,1116843,355709,0.835051025305602,469652,0.766262282811231,-136537,1.12225263533012
SD,356680,258910,211650,374091,316864,218869,17411,0.95345784849141,57954,0.817101343162998,7219,0.967016800003655
TN,2446030,1983420,1683420,2841267,2676190,1533882,395237,0.860894101117565,692770,0.741135719063295,-149538,1.09748989817991
TX,9814010,8602110,8360230,11758279,10834283,7437010,1944269,0.834646805029886,2232173,0.793971322329313,-923220,1.12413859871104
UT,1306940,847120,949220,1445876,1007165,927759,138936,0.903908772259862,160045,0.841093564609573,-21461,1.02313208494879
VA,3139330,2529050,2037110,3549581,3271632,1862406,410251,0.884422696650675,742582,0.773023983137468,-174704,1.09380553971583
VT,249030,208780,112410,271815,261011,114238,22785,0.916174604050549,52231,0.799889659822766,1828,0.983998319298307
WA,2925780,2261220,1750930,3238255,2904392,1643139,312475,0.903505128533732,643172,0.778551931006558,-107791,1.06560065825228
WI,2260250,1793690,1242470,2440984,2213641,1237914,180734,0.925958547864304,419951,0.810289473315682,-4556,1.00368038490558
WV,623260,455090,373740,718622,705234,351300,95362,0.867298802430207,250144,0.645303544639084,-22440,1.06387702818104
WY,233420,161040,133200,251523,200184,129674,18103,0.928026462788691,39144,0.804459896894857,-3526,1.02719126424727
