scenario,year,conv_iit,convnw_iit,conv_pr,convnw_pr,conv_wealth,convnw_wealth,conv_estate,convnw_estate,dY_exog
s_cg_r30,2028,2686.53680532744,2687.02609442733,1836.8839526243,1836.88603553554,0,0,39.6006998471202,39.6305753013469,0
s_cg_r30,2029,2850.3049805778,2851.02556371476,1913.65591470588,1913.65895093882,0,0,41.7206489702857,41.7688047160885,0
s_cg_r30,2030,3020.15316014175,3021.10515144992,1989.96892103971,1989.97309802412,0,0,43.9983586570273,44.0675852355646,0
s_cg_r30,2031,3160.33618159345,3161.54074212296,2069.34060785307,2069.3465026562,0,0,46.2515156387084,46.3443270925839,0
s_cg_r30,2032,3310.17772638318,3311.64494641253,2149.29010380941,2149.29724448577,0,0,48.6843700959846,48.7942219551199,0
s_cg_r30,2033,3463.5670554492,3465.32365936375,2231.00991249716,2231.01833105523,0,0,51.2540495420889,51.3632641288215,0
s_cg_r30,2034,3627.28607599454,3629.34545685101,2315.40214088329,2315.41192572605,0,0,53.9255022815854,54.107380926697,0
s_cg_r30,2035,3800.29299140232,3802.67196555271,2403.82550874575,2403.83661855726,0,0,56.8108593659099,57.0295974029406,0
s_cg_r30,2036,3987.91442709102,3990.62767824474,2495.83706174224,2495.84985036711,0,0,59.9640129457511,60.1981180990607,0
s_cg_r30,2037,4171.83004942531,4174.88449130456,2593.3943699617,2593.40880374119,0,0,62.3035818990335,62.6244210554594,0
s_cg_r30,2038,4374.05426140612,4377.47387067423,2693.93308810133,2693.94953936783,0,0,65.4687793572728,65.8376735070878,0
s_cg_r30,2039,4579.06667903506,4582.88253280411,2799.14718768338,2799.16551941268,0,0,68.0414811470762,68.4086628423419,0
s_cg_r30,2040,4794.39594269214,4798.61648350549,2908.69316677247,2908.71350341632,0,0,71.2277016516232,71.6024430513815,0
s_cg_r30,2041,5015.74391751018,5020.41950327644,3022.38374004855,3022.40626485555,0,0,74.4943876010774,74.9961421212162,0
s_cg_r30,2042,5258.09001184462,5263.19799034384,3140.50814003866,3140.53249311736,0,0,77.9725861560637,78.5533219704297,0
s_cg_r30,2043,5504.78171609093,5510.35030903441,3262.08077637965,3262.10749718938,0,0,81.2951788204851,82.037838851226,0
s_cg_r30,2044,5760.14899227734,5766.2118372912,3387.11598094597,3387.14515778401,0,0,84.6876271102214,84.7837458970608,0
s_cg_r30,2045,6023.25243627466,6029.80484068685,3514.83520307872,3514.86661851556,0,0,87.408972631497,88.2910783207215,0
s_cg_r30,2046,6291.22216847164,6298.28725440967,3645.32950814746,3645.3634791248,0,0,90.8482595147271,91.7417852433288,0
s_cg_r30,2047,6573.1421183065,6580.76134654353,3778.07258664284,3778.10923603822,0,0,94.5073594569335,95.5126486088545,0
s_cg_r30,2048,6868.59449231962,6876.7726368966,3916.47952047867,3916.51831325126,0,0,98.1053866272977,99.2338252801023,0
s_cg_r30,2049,7167.51044235406,7176.27397788317,4058.66849952026,4058.7097093032,0,0,102.034770182447,103.439574650139,0
s_cg_r30,2050,7481.91825175945,7491.27873849707,4207.22001894161,4207.26387420174,0,0,105.518896334215,107.108856189654,0
